hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
BEAUJON;01/01/2012;6;1;Sunday;winter;6.1;0;0;0;0;371;137;26;12;1231;396;72.0;54;379;23;2.2;0.09;0.3;83;0;1;0;58118;7.24
BEAUJON;02/01/2012;0;1;Monday;winter;4.5;0;0;0;0;451;170;37;19;1201;370;71.4;51;356;33;2.2;0.07;0.319;101;0;0;0;62272;7.44
BEAUJON;03/01/2012;1;1;Tuesday;winter;6.3;0;0;0;0;432;159;34;16;1236;404;69.3;46;395;35;2.4;0.08;0.3;102;0;0;0;61572;7.56
BEAUJON;04/01/2012;2;1;Wednesday;winter;2.5;0;0;0;0;427;164;38;18;1233;380;68.7;66;410;32;2.5;0.07;0.3;111;0;0;0;62201;7.45
BEAUJON;05/01/2012;3;1;Thursday;winter;1.5;0;0;0;0;404;147;29;16;1200;370;74.1;48;426;46;2.2;0.07;0.3;91;0;1;0;57207;7.33
BEAUJON;06/01/2012;4;1;Friday;winter;6.0;0;0;0;0;389;136;31;15;1200;370;72.7;50;414;35;2.1;0.07;0.3;76;0;0;0;59132;7.53
BEAUJON;07/01/2012;5;1;Saturday;winter;0.6;0;0;0;0;345;131;29;14;1317;370;77.8;50;403;20;2.2;0.07;0.3;71;0;1;0;56441;7.46
BEAUJON;08/01/2012;6;1;Sunday;winter;-1.7;0;0;0;0;377;138;31;15;1248;400;75.8;45;402;16;2.4;0.08;0.3;79;0;0;0;58775;7.38
BEAUJON;09/01/2012;0;1;Monday;winter;5.6;0;0;0;0;453;157;38;18;1229;375;74.1;53;400;43;2.3;0.06;0.313;97;0;0;0;60651;7.51
BEAUJON;10/01/2012;1;1;Tuesday;winter;3.5;0;0;0;0;440;183;37;18;1209;398;73.1;49;421;41;2.4;0.07;0.309;108;0;0;0;57943;7.55
BEAUJON;11/01/2012;2;1;Wednesday;winter;2.0;0;0;0;0;420;166;37;12;1200;370;71.8;51;411;39;2.5;0.06;0.3;93;0;0;0;59382;7.48
BEAUJON;12/01/2012;3;1;Thursday;winter;4.7;0;0;0;0;407;163;36;18;1239;372;69.4;52;394;35;2.3;0.08;0.3;98;0;0;0;60822;7.41
BEAUJON;13/01/2012;4;1;Friday;winter;1.8;0;0;0;0;389;136;27;16;1200;370;74.6;59;419;41;2.4;0.07;0.3;77;0;1;0;58599;7.18
BEAUJON;14/01/2012;5;1;Saturday;winter;6.8;0;0;0;0;354;138;30;15;1200;370;73.4;50;384;20;2.3;0.07;0.3;89;0;0;0;55459;7.17
BEAUJON;15/01/2012;6;1;Sunday;winter;7.5;0;0;0;0;375;140;28;13;1293;380;72.2;47;419;15;2.3;0.07;0.3;79;0;0;0;57352;7.92
BEAUJON;16/01/2012;0;1;Monday;winter;8.3;0;0;0;0;457;183;37;20;1206;377;70.3;52;416;45;2.2;0.08;0.322;115;0;0;0;61981;7.34
BEAUJON;17/01/2012;1;1;Tuesday;winter;4.9;0;0;0;0;441;168;30;21;1200;384;70.5;50;385;36;2.2;0.07;0.312;93;0;0;0;60281;7.46
BEAUJON;18/01/2012;2;1;Wednesday;winter;5.8;0;0;0;0;423;149;29;15;1238;408;69.2;53;401;35;2.4;0.07;0.3;88;0;0;0;58594;7.29
BEAUJON;19/01/2012;3;1;Thursday;winter;2.2;0;0;0;0;396;159;29;18;1213;378;68.2;47;387;42;2.3;0.07;0.3;96;0;0;0;57715;7.43
BEAUJON;20/01/2012;4;1;Friday;winter;11.3;0;0;0;0;385;153;37;18;1200;376;66.4;49;424;40;2.3;0.07;0.3;100;0;0;0;58783;7.61
BEAUJON;21/01/2012;5;1;Saturday;winter;8.3;0;0;0;0;354;112;36;11;1200;371;64.9;57;401;15;2.3;0.08;0.3;65;0;0;0;54564;6.86
BEAUJON;22/01/2012;6;1;Sunday;winter;1.6;0;0;0;0;378;168;29;14;1200;370;69.3;49;392;18;2.3;0.07;0.3;101;0;1;0;58192;7.43
BEAUJON;23/01/2012;0;1;Monday;winter;4.3;0;0;0;0;453;173;38;20;1257;394;66.4;55;403;37;2.5;0.08;0.306;104;0;0;0;58481;7.58
BEAUJON;24/01/2012;1;1;Tuesday;winter;8.8;0;0;0;0;445;182;29;17;1200;377;72.9;51;406;34;2.3;0.07;0.315;109;0;1;0;62845;7.36
BEAUJON;25/01/2012;2;1;Wednesday;winter;3.8;0;0;0;0;424;158;31;17;1257;371;71.8;37;376;33;2.5;0.07;0.3;90;0;0;0;58332;7.62
BEAUJON;26/01/2012;3;1;Thursday;winter;4.3;0;0;0;0;399;165;25;17;1235;370;70.6;46;405;42;2.2;0.07;0.3;90;0;0;0;60981;7.51
BEAUJON;27/01/2012;4;1;Friday;winter;2.9;0;0;0;0;392;133;28;13;1200;380;76.1;48;392;43;2.5;0.07;0.3;73;0;1;0;56200;7.2
BEAUJON;28/01/2012;5;1;Saturday;winter;2.2;0;0;0;0;363;148;30;11;1200;382;73.5;51;412;20;2.3;0.06;0.3;84;0;0;0;56253;7.67
BEAUJON;29/01/2012;6;1;Sunday;winter;1.3;0;0;0;0;378;151;26;16;1200;375;79.7;57;416;16;2.5;0.07;0.3;89;0;1;0;57067;7.48
BEAUJON;30/01/2012;0;1;Monday;winter;1.8;0;0;0;0;450;169;36;21;1214;384;77.8;50;393;34;2.3;0.06;0.315;97;0;0;0;64804;7.64
BEAUJON;31/01/2012;1;1;Tuesday;winter;4.1;0;0;0;0;443;167;42;16;1209;386;83.8;44;411;36;2.4;0.07;0.311;86;0;1;0;61662;7.37
BEAUJON;01/02/2012;2;2;Wednesday;winter;6.4;0;0;0;0;417;170;30;19;1200;396;81.1;54;424;32;2.2;0.06;0.3;95;0;0;0;62639;7.03
BEAUJON;02/02/2012;3;2;Thursday;winter;3.4;0;0;0;0;393;150;35;17;1200;370;79.4;50;386;39;2.2;0.07;0.3;87;0;0;0;59550;7.54
BEAUJON;03/02/2012;4;2;Friday;winter;5.1;0;0;0;0;373;125;31;12;1200;395;75.7;39;409;32;2.4;0.08;0.3;70;0;0;0;56486;7.62
