hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
BICHAT;01/01/2012;6;1;Sunday;winter;6.4;0;0;0;0;367;146;25;14;1308;375;72.0;48;403;15;2.2;0.07;0.3;76;0;0;0;56594;7.47
BICHAT;02/01/2012;0;1;Monday;winter;2.2;0;0;0;0;449;176;39;16;1279;370;76.9;48;345;39;2.4;0.06;0.3;101;0;1;0;59494;7.85
BICHAT;03/01/2012;1;1;Tuesday;winter;1.5;0;0;0;0;446;173;40;25;1298;370;73.8;55;416;36;2.6;0.08;0.3;105;0;0;0;63809;7.51
BICHAT;04/01/2012;2;1;Wednesday;winter;8.0;0;0;0;0;438;157;34;22;1229;373;71.7;52;426;27;2.3;0.07;0.303;83;0;0;0;61265;7.4
BICHAT;05/01/2012;3;1;Thursday;winter;3.1;0;0;0;0;423;168;33;16;1322;398;69.8;50;415;32;2.4;0.07;0.3;96;0;0;0;57834;7.5
BICHAT;06/01/2012;4;1;Friday;winter;1.2;0;0;0;0;395;165;32;16;1240;370;74.9;44;421;41;2.3;0.08;0.3;96;0;1;0;60996;7.29
BICHAT;07/01/2012;5;1;Saturday;winter;2.9;0;0;0;0;362;138;28;18;1301;379;73.2;48;430;16;2.4;0.08;0.3;80;0;0;0;58086;7.43
BICHAT;08/01/2012;6;1;Sunday;winter;1.9;0;0;0;0;369;156;28;17;1222;370;71.0;42;408;22;2.1;0.09;0.3;107;0;0;0;56728;7.11
BICHAT;09/01/2012;0;1;Monday;winter;5.4;0;0;0;0;457;179;38;14;1307;370;69.5;49;442;23;2.4;0.06;0.3;110;0;0;0;62454;7.27
BICHAT;10/01/2012;1;1;Tuesday;winter;5.4;0;0;0;0;441;189;33;18;1200;370;67.5;53;389;48;2.5;0.08;0.312;115;0;0;0;60820;7.04
BICHAT;11/01/2012;2;1;Wednesday;winter;6.3;0;0;0;0;428;180;28;14;1200;370;72.5;44;411;36;2.2;0.08;0.303;99;0;1;0;62976;7.31
