hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
CHUBDX;01/01/2012;6;1;Sunday;winter;6.0;0;0;0;0;403;150;33;15;1321;430;72.0;50;404;18;2.3;0.06;0.3;90;0;1;0;59508;7.46
CHUBDX;02/01/2012;0;1;Monday;winter;2.5;0;0;0;0;490;204;39;23;1367;430;77.3;48;392;39;2.2;0.04;0.305;134;0;1;0;65479;7.44
CHUBDX;03/01/2012;1;1;Tuesday;winter;2.3;0;0;0;0;458;181;43;21;1268;419;76.2;48;417;36;2.2;0.08;0.307;99;0;0;0;63756;7.64
CHUBDX;04/01/2012;2;1;Wednesday;winter;6.4;0;0;0;0;436;173;44;17;1280;415;73.0;54;441;42;2.2;0.06;0.3;86;0;0;0;61987;7.21
CHUBDX;05/01/2012;3;1;Thursday;winter;-0.2;0;0;0;0;411;159;31;13;1228;431;72.3;54;443;42;2.3;0.07;0.3;95;0;0;0;61570;7.44
CHUBDX;06/01/2012;4;1;Friday;winter;5.1;0;0;0;0;411;160;33;17;1391;422;71.2;52;472;37;2.4;0.08;0.3;84;0;0;0;59534;7.31
CHUBDX;07/01/2012;5;1;Saturday;winter;3.6;0;0;0;0;382;150;35;14;1211;446;68.4;48;448;16;2.3;0.07;0.3;98;0;0;0;58946;7.47
CHUBDX;08/01/2012;6;1;Sunday;winter;4.0;0;0;0;0;387;152;26;15;1356;428;74.5;43;407;22;2.4;0.06;0.3;92;0;1;0;57558;7.72
CHUBDX;09/01/2012;0;1;Monday;winter;2.4;0;0;0;0;491;183;38;22;1316;429;77.6;51;407;36;2.3;0.07;0.317;107;0;1;0;61676;7.43
CHUBDX;10/01/2012;1;1;Tuesday;winter;6.4;0;0;0;0;466;184;38;19;1373;441;75.6;53;417;47;2.4;0.09;0.3;92;0;0;0;60360;7.52
CHUBDX;11/01/2012;2;1;Wednesday;winter;10.0;0;0;0;0;452;198;41;15;1224;445;79.6;49;437;43;2.4;0.07;0.314;96;0;1;0;59198;7.59
CHUBDX;12/01/2012;3;1;Thursday;winter;0.8;0;0;0;0;431;150;37;16;1358;459;77.3;40;433;38;2.0;0.08;0.3;89;0;0;0;63271;7.33
CHUBDX;13/01/2012;4;1;Friday;winter;2.2;0;0;0;0;418;156;31;15;1245;422;75.8;52;412;30;2.2;0.08;0.3;92;0;0;0;60684;7.47
CHUBDX;14/01/2012;5;1;Saturday;winter;3.4;0;0;0;0;379;159;34;14;1338;443;80.9;48;418;20;2.4;0.06;0.3;99;0;1;0;56897;7.8
CHUBDX;15/01/2012;6;1;Sunday;winter;4.7;0;0;0;0;398;148;35;15;1206;437;79.6;32;422;23;2.3;0.07;0.3;91;0;0;0;60147;7.96
CHUBDX;16/01/2012;0;1;Monday;winter;8.5;0;0;0;0;485;175;34;22;1258;445;77.0;51;453;32;2.4;0.08;0.328;108;0;0;0;64088;7.68
CHUBDX;17/01/2012;1;1;Tuesday;winter;5.8;0;0;0;0;459;180;34;21;1275;441;75.6;53;436;41;2.1;0.08;0.306;101;0;0;0;65610;7.45
CHUBDX;18/01/2012;2;1;Wednesday;winter;1.4;0;0;0;0;437;158;32;21;1337;430;73.5;46;421;33;2.2;0.06;0.3;86;0;0;0;61316;7.33
CHUBDX;19/01/2012;3;1;Thursday;winter;0.2;0;0;0;0;429;180;32;20;1334;432;77.9;57;431;39;2.4;0.08;0.3;103;0;1;0;60626;7.39
