hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
CHULILLE;01/01/2012;6;1;Sunday;winter;5.0;0;0;0;0;349;121;32;13;1200;370;72.0;64;398;20;2.3;0.06;0.3;74;0;1;0;55540;7.06
CHULILLE;02/01/2012;0;1;Monday;winter;7.3;0;0;0;0;431;160;37;15;1277;370;69.5;62;369;35;2.4;0.06;0.3;105;0;0;0;58189;7.25
CHULILLE;03/01/2012;1;1;Tuesday;winter;4.9;0;0;0;0;422;180;41;19;1281;380;67.3;51;385;40;2.3;0.07;0.3;119;0;0;0;62751;7.42
CHULILLE;04/01/2012;2;1;Wednesday;winter;3.1;0;0;0;0;404;171;26;18;1200;370;64.6;49;378;36;2.2;0.06;0.3;95;0;0;0;58702;7.48
CHULILLE;05/01/2012;3;1;Thursday;winter;3.8;0;0;0;0;398;159;30;18;1200;371;62.3;49;400;43;2.4;0.07;0.3;96;0;0;0;57387;7.66
CHULILLE;06/01/2012;4;1;Friday;winter;-0.4;0;0;0;0;373;129;31;18;1200;370;65.9;42;390;33;2.1;0.05;0.3;84;0;1;0;56482;7.66
CHULILLE;07/01/2012;5;1;Saturday;winter;6.2;0;0;0;0;344;138;28;13;1248;381;63.9;33;405;21;2.2;0.08;0.3;78;0;0;0;54655;7.63
CHULILLE;08/01/2012;6;1;Sunday;winter;4.8;0;0;0;0;361;131;30;16;1200;370;63.7;58;370;24;2.2;0.06;0.3;72;0;0;0;55995;7.1
CHULILLE;09/01/2012;0;1;Monday;winter;0.9;0;0;0;0;439;177;42;19;1200;370;69.9;53;406;42;2.3;0.07;0.311;104;0;1;0;58760;7.59
CHULILLE;10/01/2012;1;1;Tuesday;winter;3.0;0;0;0;0;433;155;32;16;1231;370;68.3;54;380;35;2.2;0.06;0.3;99;0;0;0;59008;7.45
CHULILLE;11/01/2012;2;1;Wednesday;winter;1.0;0;0;0;0;404;147;32;15;1217;370;68.8;58;392;41;2.3;0.07;0.3;97;0;0;0;56813;7.43
CHULILLE;12/01/2012;3;1;Thursday;winter;2.7;0;0;0;0;396;159;30;12;1200;370;66.6;44;397;38;2.3;0.07;0.3;91;0;0;0;55338;7.64
CHULILLE;13/01/2012;4;1;Friday;winter;1.2;0;0;0;0;377;160;32;18;1274;370;63.9;44;400;43;2.5;0.07;0.3;91;0;0;0;59976;7.62
CHULILLE;14/01/2012;5;1;Saturday;winter;2.7;0;0;0;0;349;143;32;14;1200;370;63.0;55;388;27;2.2;0.07;0.3;91;0;0;0;53894;7.29
CHULILLE;15/01/2012;6;1;Sunday;winter;1.1;0;0;0;0;355;145;29;15;1269;370;67.7;61;400;22;2.3;0.08;0.3;82;0;1;0;57578;7.35
CHULILLE;16/01/2012;0;1;Monday;winter;5.7;0;0;0;0;421;156;35;16;1320;370;72.8;58;376;39;2.4;0.07;0.3;97;0;1;0;60626;7.4
CHULILLE;17/01/2012;1;1;Tuesday;winter;-0.3;0;0;0;0;428;175;34;18;1238;370;78.1;49;401;35;2.4;0.07;0.3;91;0;1;0;57272;7.39
CHULILLE;18/01/2012;2;1;Wednesday;winter;0.0;0;0;0;0;398;164;38;17;1200;370;84.1;52;406;30;2.4;0.06;0.3;101;0;1;0;58012;7.29
CHULILLE;19/01/2012;3;1;Thursday;winter;3.0;0;0;0;0;376;149;28;13;1200;370;80.8;47;364;36;2.3;0.07;0.3;78;0;0;0;56983;7.88
