hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
CHULYON;01/01/2012;6;1;Sunday;winter;1.6;0;0;0;0;435;170;39;20;1491;456;72.0;50;418;24;2.4;0.08;0.3;99;0;0;0;61844;7.75
CHULYON;02/01/2012;0;1;Monday;winter;5.1;0;0;0;0;533;205;41;21;1459;451;77.6;49;444;34;2.3;0.07;0.311;149;0;1;0;68915;7.58
CHULYON;03/01/2012;1;1;Tuesday;winter;8.8;0;0;0;0;497;215;41;20;1451;437;81.9;57;469;35;2.2;0.07;0.3;108;0;1;0;64729;7.53
CHULYON;04/01/2012;2;1;Wednesday;winter;6.9;0;0;0;0;488;183;35;19;1546;441;85.9;52;488;36;2.2;0.07;0.3;102;0;1;0;64543;7.37
CHULYON;05/01/2012;3;1;Thursday;winter;2.8;0;0;0;0;467;205;37;17;1592;449;83.1;53;509;37;2.4;0.07;0.3;120;0;0;0;60801;7.52
CHULYON;06/01/2012;4;1;Friday;winter;5.0;0;0;0;0;459;177;36;17;1543;432;87.1;44;490;34;2.3;0.07;0.3;85;0;1;0;62349;7.64
CHULYON;07/01/2012;5;1;Saturday;winter;4.8;0;0;0;0;425;152;37;14;1539;444;86.4;51;478;24;2.2;0.07;0.3;83;0;0;0;59196;7.18
CHULYON;08/01/2012;6;1;Sunday;winter;-0.5;0;0;0;0;428;187;32;18;1594;441;84.8;44;470;16;2.3;0.05;0.3;110;0;0;0;61078;7.93
CHULYON;09/01/2012;0;1;Monday;winter;6.8;0;0;0;0;529;196;43;19;1547;455;83.1;50;484;39;2.3;0.07;0.3;112;0;0;0;65441;7.25
CHULYON;10/01/2012;1;1;Tuesday;winter;7.6;0;0;0;0;516;204;43;21;1468;437;81.2;46;473;37;2.5;0.06;0.3;110;0;0;0;64729;7.4
CHULYON;11/01/2012;2;1;Wednesday;winter;4.2;0;0;0;0;497;197;46;22;1519;460;78.9;49;475;35;2.3;0.08;0.3;132;0;0;0;67513;7.4
CHULYON;12/01/2012;3;1;Thursday;winter;2.1;0;0;0;0;475;181;46;22;1535;453;78.0;40;463;34;2.2;0.06;0.3;110;0;0;1;64093;7.43
CHULYON;13/01/2012;4;1;Friday;winter;3.7;0;0;0;0;462;171;37;20;1515;433;75.5;51;476;43;2.3;0.06;0.3;97;0;0;0;64411;7.63
CHULYON;14/01/2012;5;1;Saturday;winter;4.8;0;0;0;0;412;167;28;17;1491;440;82.2;44;467;16;2.4;0.07;0.3;100;0;1;0;60837;7.59
CHULYON;15/01/2012;6;1;Sunday;winter;-2.2;0;0;0;0;429;179;34;17;1504;425;80.4;48;483;20;2.5;0.06;0.3;101;0;0;0;62686;7.57
CHULYON;16/01/2012;0;1;Monday;winter;3.2;0;0;0;0;527;220;41;25;1488;434;86.9;55;491;38;2.2;0.06;0.301;116;0;1;0;65651;7.32
CHULYON;17/01/2012;1;1;Tuesday;winter;-0.7;0;0;0;0;515;189;35;22;1513;427;91.7;46;469;41;2.4;0.08;0.3;111;0;1;0;62396;7.69
CHULYON;18/01/2012;2;1;Wednesday;winter;3.8;0;0;0;0;481;188;38;22;1383;439;89.8;42;441;34;2.5;0.08;0.3;112;0;0;0;63988;7.69
CHULYON;19/01/2012;3;1;Thursday;winter;5.3;0;0;0;0;468;180;34;22;1534;441;87.7;56;475;35;2.5;0.06;0.3;96;0;0;0;63827;7.34
CHULYON;20/01/2012;4;1;Friday;winter;3.3;0;0;0;0;456;172;37;22;1600;442;86.2;48;488;34;2.3;0.07;0.3;89;0;0;0;65375;7.45
CHULYON;21/01/2012;5;1;Saturday;winter;5.6;0;0;0;0;425;180;31;21;1569;416;84.7;48;453;18;2.5;0.07;0.3;100;0;0;0;62325;7.37
CHULYON;22/01/2012;6;1;Sunday;winter;0.0;0;0;0;0;438;170;29;17;1518;455;91.1;36;457;27;2.4;0.07;0.3;99;0;1;0;61531;7.61
CHULYON;23/01/2012;0;1;Monday;winter;-1.4;0;0;0;0;531;180;43;22;1588;457;91.7;45;493;30;2.5;0.06;0.3;103;0;0;0;67202;7.44
CHULYON;24/01/2012;1;1;Tuesday;winter;1.9;0;0;0;0;516;239;53;20;1426;452;90.6;41;468;37;2.1;0.08;0.308;147;0;0;0;66381;7.57
CHULYON;25/01/2012;2;1;Wednesday;winter;4.6;0;0;0;0;490;174;38;18;1458;450;87.4;48;482;26;2.3;0.07;0.3;113;0;0;0;64977;7.74
CHULYON;26/01/2012;3;1;Thursday;winter;1.3;0;0;0;0;477;172;41;20;1492;445;92.0;63;471;36;2.1;0.07;0.3;104;0;1;0;64083;7.06
CHULYON;27/01/2012;4;1;Friday;winter;1.5;0;0;0;0;460;175;41;18;1529;450;95.0;47;497;36;2.3;0.06;0.3;104;0;1;0;66805;7.23
CHULYON;28/01/2012;5;1;Saturday;winter;6.2;0;0;0;0;419;154;39;22;1472;449;94.0;43;477;15;2.3;0.07;0.3;83;0;0;0;64217;7.57
CHULYON;29/01/2012;6;1;Sunday;winter;4.3;0;0;0;0;439;170;37;20;1513;455;91.5;54;458;17;2.4;0.07;0.3;100;0;0;0;62759;7.6
CHULYON;30/01/2012;0;1;Monday;winter;2.3;0;0;0;0;527;207;36;22;1588;435;95.0;60;468;39;2.4;0.07;0.3;126;0;1;0;66301;7.32
CHULYON;31/01/2012;1;1;Tuesday;winter;3.6;0;0;0;0;494;203;38;22;1517;448;95.0;46;473;36;2.5;0.07;0.3;119;0;1;0;64248;7.91
CHULYON;01/02/2012;2;2;Wednesday;winter;3.0;0;0;0;0;471;168;38;20;1515;442;95.0;47;453;39;2.4;0.07;0.3;99;0;1;0;64991;7.47
CHULYON;02/02/2012;3;2;Thursday;winter;5.0;0;0;0;0;454;166;33;20;1430;452;92.6;42;483;34;2.2;0.06;0.3;88;0;0;0;63098;7.53
CHULYON;03/02/2012;4;2;Friday;winter;8.6;0;0;0;0;447;167;37;16;1448;439;95.0;47;463;37;2.2;0.07;0.3;104;0;1;0;60661;7.51
CHULYON;04/02/2012;5;2;Saturday;winter;7.1;0;0;0;0;409;158;28;19;1476;460;93.2;39;464;17;2.2;0.06;0.3;95;0;0;0;61001;7.53
CHULYON;05/02/2012;6;2;Sunday;winter;3.0;0;0;0;0;422;161;33;19;1519;451;90.5;42;468;24;2.3;0.08;0.3;94;0;0;0;63948;7.59
CHULYON;06/02/2012;0;2;Monday;winter;7.1;0;0;0;0;505;193;37;20;1550;434;88.2;51;458;37;2.2;0.07;0.3;114;0;0;0;64859;7.61
CHULYON;07/02/2012;1;2;Tuesday;winter;8.1;0;0;0;0;498;190;36;21;1481;438;85.6;54;471;39;2.0;0.07;0.3;109;0;0;0;65634;7.29
CHULYON;08/02/2012;2;2;Wednesday;winter;-0.2;0;0;0;0;482;194;38;13;1520;456;89.8;43;446;42;2.3;0.08;0.3;109;0;1;0;63800;7.89
CHULYON;09/02/2012;3;2;Thursday;winter;1.2;0;0;0;0;458;179;38;17;1600;441;94.8;50;465;36;2.4;0.06;0.3;103;0;1;0;62117;7.23
CHULYON;10/02/2012;4;2;Friday;winter;7.5;0;0;0;0;432;180;29;17;1517;460;95.0;46;441;38;2.3;0.07;0.3;90;0;1;0;62932;7.58
CHULYON;11/02/2012;5;2;Saturday;winter;6.0;0;0;0;0;396;162;36;15;1516;438;92.9;50;439;21;2.1;0.07;0.3;98;0;0;0;60813;7.72
CHULYON;12/02/2012;6;2;Sunday;winter;4.7;0;0;0;0;414;168;38;17;1471;459;95.0;48;440;23;2.0;0.07;0.3;108;0;1;0;60512;7.45
CHULYON;13/02/2012;0;2;Monday;winter;-0.9;0;0;0;0;515;193;47;23;1440;450;92.8;49;440;40;2.5;0.08;0.304;106;0;0;0;64320;7.41
CHULYON;14/02/2012;1;2;Tuesday;winter;-0.7;0;0;0;0;486;186;43;27;1537;460;95.0;50;466;42;2.3;0.08;0.3;102;0;1;0;64982;7.36
CHULYON;15/02/2012;2;2;Wednesday;winter;6.0;0;0;0;0;475;191;37;21;1600;458;93.5;50;437;39;2.5;0.06;0.3;118;0;0;0;64369;7.56
CHULYON;16/02/2012;3;2;Thursday;winter;6.0;0;0;0;0;464;179;36;15;1482;433;92.2;57;456;34;2.2;0.07;0.3;114;0;0;0;65088;7.26
CHULYON;17/02/2012;4;2;Friday;winter;-2.1;0;0;0;0;443;173;37;14;1498;436;91.7;53;468;31;2.3;0.07;0.3;114;0;0;0;62486;7.5
CHULYON;18/02/2012;5;2;Saturday;winter;3.6;0;0;0;0;407;156;35;13;1498;430;89.8;41;472;15;2.6;0.07;0.3;87;0;0;0;61835;7.47
CHULYON;19/02/2012;6;2;Sunday;winter;3.8;0;0;0;0;416;169;32;13;1494;442;87.6;50;467;22;2.4;0.07;0.3;112;0;0;0;60222;7.28
CHULYON;20/02/2012;0;2;Monday;winter;3.8;0;0;0;0;509;214;39;19;1486;425;86.0;45;455;38;2.5;0.07;0.3;141;0;0;0;65294;7.46
CHULYON;21/02/2012;1;2;Tuesday;winter;4.3;0;0;0;0;489;181;43;17;1514;453;83.7;42;437;51;2.2;0.05;0.3;112;0;0;0;63369;7.57
CHULYON;22/02/2012;2;2;Wednesday;winter;6.8;0;0;0;0;465;185;39;17;1546;460;80.9;51;457;31;2.2;0.06;0.3;104;0;0;0;62130;7.62
CHULYON;23/02/2012;3;2;Thursday;winter;3.0;0;0;0;0;453;161;42;19;1510;432;77.5;53;451;36;2.3;0.06;0.3;106;0;0;0;63334;7.84
CHULYON;24/02/2012;4;2;Friday;winter;5.1;0;0;0;0;446;162;32;18;1463;444;82.9;44;451;32;2.2;0.08;0.3;90;0;1;0;63047;7.44
CHULYON;25/02/2012;5;2;Saturday;winter;6.9;0;0;0;0;408;175;27;18;1578;426;89.1;53;440;25;2.3;0.06;0.3;118;0;1;0;61662;7.38
