hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
COCHIN;01/01/2012;6;1;Sunday;winter;7.1;0;0;0;0;412;166;29;16;1367;397;72.0;44;384;25;2.3;0.07;0.3;90;0;0;0;60337;7.38
COCHIN;02/01/2012;0;1;Monday;winter;4.4;0;0;0;0;503;186;38;23;1403;417;78.9;46;404;31;2.4;0.06;0.305;112;0;1;0;66430;7.52
COCHIN;03/01/2012;1;1;Tuesday;winter;3.8;0;0;0;0;486;198;37;20;1396;420;78.4;56;452;35;2.2;0.07;0.3;124;0;0;0;65765;7.3
COCHIN;04/01/2012;2;1;Wednesday;winter;4.7;0;0;0;0;463;193;37;19;1379;405;75.6;53;483;44;2.3;0.07;0.3;99;0;0;0;63525;7.3
COCHIN;05/01/2012;3;1;Thursday;winter;6.4;0;0;0;0;437;156;35;18;1383;396;74.5;53;476;35;2.2;0.07;0.3;110;0;0;0;61950;7.42
COCHIN;06/01/2012;4;1;Friday;winter;1.7;0;0;0;0;434;159;41;19;1394;409;71.8;53;469;41;2.2;0.06;0.3;106;0;0;0;60961;7.33
COCHIN;07/01/2012;5;1;Saturday;winter;-0.4;0;0;0;0;397;147;25;14;1422;416;77.2;43;465;18;2.3;0.06;0.3;85;0;1;0;58488;7.44
COCHIN;08/01/2012;6;1;Sunday;winter;5.1;0;0;0;0;414;159;32;19;1296;426;84.3;44;444;23;2.3;0.07;0.3;105;0;1;0;62509;7.47
COCHIN;09/01/2012;0;1;Monday;winter;1.2;0;0;0;0;505;224;43;11;1436;423;89.4;46;443;36;2.3;0.07;0.3;151;0;1;0;62638;7.55
COCHIN;10/01/2012;1;1;Tuesday;winter;5.8;0;0;0;0;480;194;33;16;1421;396;87.9;53;457;37;2.4;0.06;0.3;104;0;0;0;63074;7.34
