hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
HEGP;01/01/2012;6;1;Sunday;winter;4.3;0;0;0;0;434;159;34;21;1388;424;72.0;48;402;16;2.3;0.07;0.3;93;0;1;0;65763;7.54
HEGP;02/01/2012;0;1;Monday;winter;2.4;0;0;0;0;537;204;48;21;1479;446;70.4;57;450;33;2.3;0.07;0.309;114;0;0;0;66904;7.29
HEGP;03/01/2012;1;1;Tuesday;winter;7.2;0;0;0;0;511;176;46;23;1492;430;74.4;49;474;37;2.4;0.08;0.3;99;0;1;0;66567;7.33
HEGP;04/01/2012;2;1;Wednesday;winter;3.4;0;0;0;0;500;197;38;18;1499;445;72.7;47;492;42;2.3;0.07;0.3;117;0;0;0;63832;7.52
HEGP;05/01/2012;3;1;Thursday;winter;4.0;0;0;0;0;491;198;38;21;1481;445;68.9;41;524;36;2.3;0.06;0.3;143;0;0;0;66063;7.36
HEGP;06/01/2012;4;1;Friday;winter;6.2;0;0;0;0;458;187;37;18;1470;445;65.9;42;480;34;2.1;0.07;0.3;137;0;0;0;64149;7.52
HEGP;07/01/2012;5;1;Saturday;winter;6.2;0;0;0;0;420;163;31;16;1551;421;64.5;47;482;18;2.2;0.07;0.3;116;0;0;0;62953;7.61
HEGP;08/01/2012;6;1;Sunday;winter;1.6;0;0;0;0;441;187;33;19;1494;395;61.1;45;494;22;2.4;0.06;0.3;118;0;0;0;62386;7.74
HEGP;09/01/2012;0;1;Monday;winter;1.0;0;0;0;0;541;209;41;22;1420;422;67.9;53;467;35;2.2;0.07;0.324;123;0;1;0;67850;7.62
HEGP;10/01/2012;1;1;Tuesday;winter;3.1;0;0;0;0;516;208;37;20;1523;423;66.0;60;485;33;2.3;0.08;0.3;119;0;0;0;65011;7.33
HEGP;11/01/2012;2;1;Wednesday;winter;10.3;0;0;0;0;503;203;41;15;1512;433;65.1;45;459;29;2.2;0.05;0.3;113;0;0;0;65517;7.36
HEGP;12/01/2012;3;1;Thursday;winter;2.2;0;0;0;0;476;186;38;22;1490;458;63.5;50;486;37;2.4;0.06;0.3;96;0;0;0;64815;7.24
