hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
LARIBO;01/01/2012;6;1;Sunday;winter;8.4;0;0;0;0;455;161;37;18;1443;460;72.0;44;413;18;2.4;0.07;0.3;98;0;0;0;62378;7.31
LARIBO;02/01/2012;0;1;Monday;winter;8.5;0;0;0;0;548;221;45;18;1301;448;69.8;56;448;33;2.3;0.06;0.358;134;0;0;0;65153;7.16
LARIBO;03/01/2012;1;1;Tuesday;winter;6.6;0;0;0;0;523;208;50;25;1446;456;68.3;51;499;34;2.2;0.08;0.307;138;0;0;0;66390;7.38
LARIBO;04/01/2012;2;1;Wednesday;winter;5.9;0;0;0;0;506;175;42;19;1344;460;66.1;62;525;43;2.3;0.07;0.32;104;0;0;0;65861;7.48
LARIBO;05/01/2012;3;1;Thursday;winter;6.0;0;0;0;0;476;195;31;17;1419;449;72.2;54;505;39;2.2;0.07;0.3;132;0;1;0;62558;7.44
LARIBO;06/01/2012;4;1;Friday;winter;3.3;0;0;0;0;480;193;39;24;1479;459;77.9;48;509;38;2.3;0.06;0.3;115;0;1;0;64822;7.62
LARIBO;07/01/2012;5;1;Saturday;winter;4.0;0;0;0;0;423;201;32;17;1444;456;73.2;48;493;19;2.3;0.07;0.3;121;0;0;0;61074;7.61
LARIBO;08/01/2012;6;1;Sunday;winter;0.5;0;0;0;0;450;187;32;21;1397;455;77.0;46;474;17;2.3;0.08;0.3;115;0;1;0;63819;7.95
LARIBO;09/01/2012;0;1;Monday;winter;8.7;0;0;0;0;556;203;41;18;1391;456;73.8;50;482;41;2.4;0.08;0.34;123;0;0;0;68313;7.65
LARIBO;10/01/2012;1;1;Tuesday;winter;1.1;0;0;0;0;524;187;39;24;1514;453;77.8;61;504;39;2.3;0.05;0.3;114;0;1;0;67864;7.28
LARIBO;11/01/2012;2;1;Wednesday;winter;4.2;0;0;0;0;510;191;32;16;1401;460;75.7;58;482;37;2.3;0.07;0.309;111;0;0;0;64336;7.24
LARIBO;12/01/2012;3;1;Thursday;winter;0.3;0;0;0;0;497;184;44;19;1443;460;72.5;62;476;37;2.3;0.09;0.3;120;0;0;0;65336;7.36
LARIBO;13/01/2012;4;1;Friday;winter;4.0;0;0;0;0;470;196;37;18;1429;460;77.9;59;468;40;2.4;0.06;0.3;140;0;1;0;66428;7.27
LARIBO;14/01/2012;5;1;Saturday;winter;7.8;0;0;0;0;421;156;39;21;1462;460;83.1;51;475;20;2.5;0.07;0.3;89;0;1;0;62957;7.24
LARIBO;15/01/2012;6;1;Sunday;winter;4.5;0;0;0;0;456;196;34;17;1416;456;81.1;49;473;25;2.3;0.08;0.3;124;0;0;0;63066;7.64
