hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
NECKER;01/01/2012;6;1;Sunday;winter;2.5;0;0;0;0;403;161;34;14;1302;391;72.0;45;380;21;2.2;0.06;0.3;103;0;0;0;57918;7.72
NECKER;02/01/2012;0;1;Monday;winter;5.6;0;0;0;0;496;184;47;23;1306;372;78.0;50;406;32;2.4;0.07;0.323;112;0;1;0;63756;7.69
NECKER;03/01/2012;1;1;Tuesday;winter;4.4;0;0;0;0;475;175;38;17;1304;392;75.3;48;439;40;2.2;0.07;0.31;115;0;0;0;63479;7.51
NECKER;04/01/2012;2;1;Wednesday;winter;0.9;0;0;0;0;455;182;35;19;1317;388;74.6;65;470;42;2.4;0.07;0.3;107;0;0;0;61317;7.48
NECKER;05/01/2012;3;1;Thursday;winter;4.4;0;0;0;0;445;168;30;20;1284;370;73.3;52;471;41;2.2;0.08;0.3;106;0;0;0;62997;7.08
NECKER;06/01/2012;4;1;Friday;winter;2.5;0;0;0;0;435;151;35;18;1252;386;71.6;39;464;36;2.4;0.07;0.3;91;0;0;0;59006;7.48
NECKER;07/01/2012;5;1;Saturday;winter;3.3;0;0;0;0;394;150;29;19;1218;392;76.5;49;476;21;2.1;0.07;0.3;88;0;1;0;61578;7.47
NECKER;08/01/2012;6;1;Sunday;winter;5.6;0;0;0;0;410;163;29;18;1302;399;81.5;42;440;15;2.3;0.07;0.3;101;0;1;0;58908;7.4
NECKER;09/01/2012;0;1;Monday;winter;8.7;0;0;0;0;487;177;39;21;1214;384;81.2;56;446;40;2.5;0.07;0.341;99;0;0;0;65372;7.42
NECKER;10/01/2012;1;1;Tuesday;winter;9.8;0;0;0;0;483;179;34;21;1353;381;79.9;61;472;40;2.4;0.08;0.303;112;0;0;0;64645;7.26
NECKER;11/01/2012;2;1;Wednesday;winter;3.3;0;0;0;0;461;166;33;18;1295;392;77.7;49;430;32;2.4;0.07;0.303;101;0;0;0;62542;7.43
NECKER;12/01/2012;3;1;Thursday;winter;5.2;0;0;0;0;449;153;38;21;1371;395;75.9;51;419;38;2.5;0.06;0.3;86;0;0;0;62431;7.55
NECKER;13/01/2012;4;1;Friday;winter;6.2;0;0;0;0;413;163;37;16;1345;370;80.4;52;449;42;2.6;0.08;0.3;93;0;1;0;60846;7.23
NECKER;14/01/2012;5;1;Saturday;winter;5.1;0;0;0;0;390;141;39;13;1382;370;76.8;39;430;21;2.2;0.07;0.3;70;0;0;0;58566;7.54
NECKER;15/01/2012;6;1;Sunday;winter;-1.9;0;0;0;0;407;162;27;15;1351;373;81.2;51;421;21;2.4;0.07;0.3;100;0;1;0;59231;7.51
NECKER;16/01/2012;0;1;Monday;winter;4.7;0;0;0;0;497;181;39;19;1346;377;85.7;59;437;40;2.1;0.07;0.314;118;0;1;0;63296;7.26
NECKER;17/01/2012;1;1;Tuesday;winter;8.6;0;0;0;0;478;191;42;17;1306;398;88.9;53;447;36;2.5;0.06;0.311;108;0;1;0;62997;7.31
NECKER;18/01/2012;2;1;Wednesday;winter;-1.6;0;0;0;0;463;175;29;16;1442;398;93.5;63;453;36;2.4;0.07;0.3;110;0;1;1;60487;7.02
NECKER;19/01/2012;3;1;Thursday;winter;4.7;0;0;0;0;440;184;36;17;1321;370;91.2;62;448;32;2.3;0.07;0.3;127;0;0;0;63218;7.18
NECKER;20/01/2012;4;1;Friday;winter;0.4;0;0;0;0;427;167;36;17;1297;370;94.3;41;450;38;2.3;0.06;0.3;89;0;1;0;63467;7.78
NECKER;21/01/2012;5;1;Saturday;winter;7.4;0;0;0;0;388;155;30;12;1385;370;93.5;38;464;19;2.4;0.07;0.3;96;0;0;0;58515;7.64
NECKER;22/01/2012;6;1;Sunday;winter;6.5;0;0;0;0;404;155;31;18;1411;398;95.0;51;426;15;2.4;0.07;0.3;86;0;1;0;57889;7.48
NECKER;23/01/2012;0;1;Monday;winter;4.6;0;0;0;0;499;157;42;21;1321;372;92.0;66;465;38;2.5;0.06;0.321;93;0;0;0;66575;7.23
NECKER;24/01/2012;1;1;Tuesday;winter;5.0;0;0;0;0;470;197;33;17;1326;370;90.1;47;425;33;2.2;0.06;0.301;120;0;0;0;61550;7.49
NECKER;25/01/2012;2;1;Wednesday;winter;8.6;0;0;0;0;459;178;33;19;1355;400;89.8;54;453;39;2.3;0.07;0.3;96;0;0;0;60607;7.33
NECKER;26/01/2012;3;1;Thursday;winter;5.2;0;0;0;0;451;186;28;20;1371;385;87.4;55;447;42;2.2;0.07;0.3;123;0;0;0;61357;7.31
NECKER;27/01/2012;4;1;Friday;winter;4.6;0;0;0;0;409;159;31;17;1362;390;85.3;50;454;35;2.2;0.07;0.3;78;0;0;0;58677;7.28
NECKER;28/01/2012;5;1;Saturday;winter;4.9;0;0;0;0;386;134;25;14;1330;380;83.2;41;463;19;2.4;0.06;0.3;87;0;0;0;59068;7.71
NECKER;29/01/2012;6;1;Sunday;winter;5.8;0;0;0;0;404;154;30;19;1259;392;80.8;49;446;23;2.1;0.06;0.3;86;0;0;0;59852;7.21
NECKER;30/01/2012;0;1;Monday;winter;6.3;0;0;0;0;503;192;37;20;1269;370;80.2;56;428;35;2.3;0.09;0.337;119;0;0;0;63852;7.45
NECKER;31/01/2012;1;1;Tuesday;winter;3.6;0;0;0;0;479;183;34;21;1376;383;78.9;51;442;40;2.3;0.06;0.3;122;0;0;0;64765;7.69
NECKER;01/02/2012;2;2;Wednesday;winter;0.2;0;0;0;0;445;183;39;16;1370;400;76.2;40;424;41;2.3;0.07;0.3;116;0;0;0;61170;7.71
NECKER;02/02/2012;3;2;Thursday;winter;7.4;0;0;0;0;423;145;33;17;1350;401;73.1;53;452;36;2.4;0.06;0.3;85;0;0;0;58232;7.25
NECKER;03/02/2012;4;2;Friday;winter;3.2;0;0;0;0;406;159;34;15;1308;379;78.4;44;437;35;2.3;0.08;0.3;90;0;1;0;61286;7.36
NECKER;04/02/2012;5;2;Saturday;winter;2.1;0;0;0;0;370;136;27;14;1236;399;76.5;36;420;17;2.3;0.07;0.3;78;0;0;0;60364;7.63
NECKER;05/02/2012;6;2;Sunday;winter;4.7;0;0;0;0;395;159;32;18;1261;370;75.1;54;417;19;2.1;0.07;0.3;96;0;0;0;61114;7.46
NECKER;06/02/2012;0;2;Monday;winter;2.2;0;0;0;0;482;204;32;19;1389;386;73.1;53;441;34;2.5;0.07;0.3;131;0;0;0;62364;7.36
NECKER;07/02/2012;1;2;Tuesday;winter;2.7;0;0;0;0;462;176;38;19;1383;384;70.6;47;400;35;2.3;0.06;0.3;106;0;0;0;63641;7.39
NECKER;08/02/2012;2;2;Wednesday;winter;1.0;0;0;0;0;444;191;35;18;1330;407;69.8;58;416;42;2.3;0.06;0.3;101;0;0;0;61327;7.4
