hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
PITIE;01/01/2012;6;1;Sunday;winter;4.7;0;0;0;0;411;165;40;17;1493;399;72.0;54;394;17;2.4;0.08;0.3;90;0;0;0;59622;7.35
PITIE;02/01/2012;0;1;Monday;winter;0.8;0;0;0;0;503;198;43;21;1485;429;69.3;46;405;38;2.6;0.08;0.3;111;0;0;0;65776;7.26
PITIE;03/01/2012;1;1;Tuesday;winter;-1.1;0;0;0;0;488;177;37;21;1533;426;68.3;40;465;37;2.2;0.09;0.3;110;0;0;0;62242;7.69
PITIE;04/01/2012;2;1;Wednesday;winter;3.2;0;0;0;0;484;182;40;20;1417;419;64.8;53;451;36;2.3;0.09;0.3;119;0;0;0;63758;7.31
PITIE;05/01/2012;3;1;Thursday;winter;1.5;0;0;0;0;448;181;44;18;1395;425;71.3;55;487;38;2.3;0.07;0.3;124;0;1;0;62325;7.43
PITIE;06/01/2012;4;1;Friday;winter;3.5;0;0;0;0;425;171;34;16;1365;435;66.0;49;467;44;2.2;0.06;0.3;105;0;0;0;61071;7.48
PITIE;07/01/2012;5;1;Saturday;winter;2.3;0;0;0;0;381;155;27;16;1389;403;64.1;33;475;16;2.2;0.07;0.3;92;0;0;0;59701;7.88
PITIE;08/01/2012;6;1;Sunday;winter;4.1;0;0;0;0;402;149;32;15;1456;423;62.6;58;427;22;2.3;0.07;0.3;82;0;0;0;60190;7.66
PITIE;09/01/2012;0;1;Monday;winter;4.6;0;0;0;0;496;198;42;20;1464;405;60.6;49;450;41;2.3;0.06;0.3;101;0;0;0;59548;7.15
PITIE;10/01/2012;1;1;Tuesday;winter;5.9;0;0;0;0;487;181;40;16;1454;424;59.1;55;448;40;2.2;0.08;0.3;113;0;0;0;63307;7.58
PITIE;11/01/2012;2;1;Wednesday;winter;5.8;0;0;0;0;462;189;42;19;1381;419;56.6;38;448;41;2.1;0.06;0.3;111;0;0;0;60211;7.76
PITIE;12/01/2012;3;1;Thursday;winter;7.3;0;0;0;0;450;184;36;18;1381;422;55.6;57;447;37;2.2;0.07;0.3;110;0;0;0;61210;7.41
PITIE;13/01/2012;4;1;Friday;winter;4.3;0;0;0;0;424;150;25;17;1523;434;60.0;52;446;40;2.2;0.08;0.3;87;0;1;0;62221;7.6
PITIE;14/01/2012;5;1;Saturday;winter;0.8;0;0;0;0;396;155;33;19;1372;434;64.7;42;409;20;2.3;0.07;0.3;87;0;1;0;61151;7.89
PITIE;15/01/2012;6;1;Sunday;winter;6.5;0;0;0;0;417;150;34;20;1494;437;68.8;53;469;15;2.3;0.07;0.3;94;0;1;0;63504;7.3
PITIE;16/01/2012;0;1;Monday;winter;4.7;0;0;0;0;498;202;41;22;1439;417;74.6;53;437;34;2.3;0.07;0.3;137;0;1;0;65085;8.01
PITIE;17/01/2012;1;1;Tuesday;winter;6.0;0;0;0;0;486;175;35;22;1377;432;72.6;55;438;42;2.2;0.08;0.3;94;0;0;0;62903;7.15
PITIE;18/01/2012;2;1;Wednesday;winter;6.1;0;0;0;0;462;182;44;19;1352;429;70.1;48;448;36;2.3;0.07;0.3;92;0;0;0;60733;7.43
PITIE;19/01/2012;3;1;Thursday;winter;3.3;0;0;0;0;439;177;31;18;1379;417;74.2;44;454;36;2.3;0.07;0.3;104;0;1;0;63494;7.66
PITIE;20/01/2012;4;1;Friday;winter;3.3;0;0;0;0;433;168;31;18;1439;424;79.0;58;426;41;2.2;0.07;0.3;95;0;1;0;59873;7.24
PITIE;21/01/2012;5;1;Saturday;winter;9.1;0;0;0;0;396;161;30;17;1367;421;83.6;48;424;19;2.5;0.07;0.3;105;0;1;0;58255;7.47
PITIE;22/01/2012;6;1;Sunday;winter;0.7;0;0;0;0;415;163;37;17;1501;441;88.3;37;469;23;2.0;0.08;0.3;101;0;1;0;60769;7.75
PITIE;23/01/2012;0;1;Monday;winter;2.8;0;0;0;0;507;214;46;22;1405;433;92.8;52;441;37;2.4;0.07;0.307;147;0;1;0;66591;7.47
PITIE;24/01/2012;1;1;Tuesday;winter;6.2;0;0;0;0;481;174;40;20;1454;418;95.0;55;452;34;2.4;0.08;0.3;113;0;1;0;63628;7.69
PITIE;25/01/2012;2;1;Wednesday;winter;3.5;0;0;0;0;464;175;40;20;1450;417;95.0;56;432;42;2.4;0.07;0.3;105;0;1;0;62458;7.61
PITIE;26/01/2012;3;1;Thursday;winter;2.6;0;0;0;0;445;152;30;20;1505;435;92.8;60;472;34;2.3;0.07;0.3;92;0;0;0;61139;7.21
PITIE;27/01/2012;4;1;Friday;winter;6.1;0;0;0;0;431;164;28;16;1393;441;91.6;50;461;43;2.1;0.06;0.3;101;0;0;0;61627;7.51
PITIE;28/01/2012;5;1;Saturday;winter;7.5;0;0;0;0;392;141;30;16;1422;427;95.0;40;440;22;2.5;0.06;0.3;78;0;1;0;57001;7.78
PITIE;29/01/2012;6;1;Sunday;winter;4.4;0;0;0;0;412;146;35;17;1340;431;92.9;44;470;18;2.1;0.07;0.3;90;0;0;0;58432;7.17
PITIE;30/01/2012;0;1;Monday;winter;0.1;0;0;0;0;496;174;43;18;1422;440;95.0;58;457;40;2.2;0.07;0.3;115;0;1;0;62485;7.38
PITIE;31/01/2012;1;1;Tuesday;winter;4.3;0;0;0;0;476;179;34;23;1478;420;94.1;46;458;36;2.2;0.07;0.3;101;0;0;0;62728;7.45
PITIE;01/02/2012;2;2;Wednesday;winter;6.0;0;0;0;0;442;173;31;16;1429;424;92.1;49;458;35;2.2;0.06;0.3;101;0;0;0;60550;7.46
PITIE;02/02/2012;3;2;Thursday;winter;2.4;0;0;0;0;434;172;38;21;1542;429;90.2;44;436;39;2.2;0.07;0.3;108;0;0;0;63498;7.89
PITIE;03/02/2012;4;2;Friday;winter;8.9;0;0;0;0;413;169;33;14;1445;417;86.8;44;467;41;2.2;0.06;0.3;113;0;0;0;62016;7.7
PITIE;04/02/2012;5;2;Saturday;winter;6.4;0;0;0;0;376;153;23;12;1387;445;84.6;41;464;21;2.1;0.06;0.3;86;0;0;0;57021;7.67
PITIE;05/02/2012;6;2;Sunday;winter;2.5;0;0;0;0;401;144;28;15;1442;417;89.8;47;462;17;2.3;0.06;0.3;88;0;1;0;59419;7.37
PITIE;06/02/2012;0;2;Monday;winter;6.4;0;0;0;0;492;182;41;21;1337;423;88.7;50;399;32;2.2;0.07;0.313;108;0;0;1;62931;7.67
PITIE;07/02/2012;1;2;Tuesday;winter;6.4;0;0;0;0;462;181;32;20;1373;448;89.1;38;434;37;2.3;0.06;0.3;106;0;0;0;61968;7.44
PITIE;08/02/2012;2;2;Wednesday;winter;3.4;0;0;0;0;441;172;31;21;1351;397;88.6;57;436;33;2.3;0.07;0.3;87;0;0;0;63101;7.33
PITIE;09/02/2012;3;2;Thursday;winter;1.8;0;0;0;0;437;183;31;16;1418;425;93.8;54;426;37;2.3;0.08;0.3;103;0;1;0;62958;7.47
PITIE;10/02/2012;4;2;Friday;winter;4.3;0;0;0;0;414;157;36;19;1413;414;92.3;48;431;38;2.2;0.07;0.3;84;0;0;0;62866;7.54
PITIE;11/02/2012;5;2;Saturday;winter;3.4;0;0;0;0;378;153;30;12;1482;422;90.1;52;431;23;2.4;0.08;0.3;90;0;0;1;58545;7.36
PITIE;12/02/2012;6;2;Sunday;winter;5.7;0;0;0;0;403;154;37;14;1411;406;88.2;51;452;22;2.3;0.07;0.3;89;0;0;0;56976;7.32
PITIE;13/02/2012;0;2;Monday;winter;4.3;0;0;0;0;481;190;36;19;1362;417;87.1;55;450;42;2.2;0.08;0.3;103;0;0;0;61306;7.7
PITIE;14/02/2012;1;2;Tuesday;winter;6.3;0;0;0;0;468;185;36;16;1501;423;85.2;51;436;38;2.3;0.07;0.3;108;0;0;0;59771;7.22
PITIE;15/02/2012;2;2;Wednesday;winter;5.6;0;0;0;0;449;173;37;19;1256;426;84.0;53;438;36;2.5;0.07;0.304;119;0;0;0;63754;7.58
PITIE;16/02/2012;3;2;Thursday;winter;6.9;0;0;0;0;452;164;33;17;1418;435;82.2;41;433;40;2.2;0.06;0.3;93;0;0;0;61021;7.55
PITIE;17/02/2012;4;2;Friday;winter;6.5;0;0;0;0;413;162;27;19;1428;391;87.9;46;465;39;2.4;0.07;0.3;94;0;1;0;61162;7.35
