hospital_id;date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
STLOUIS;01/01/2012;6;1;Sunday;winter;3.2;0;0;0;0;416;167;38;18;1254;437;72.0;59;411;22;2.2;0.06;0.3;80;0;0;0;62655;7.21
STLOUIS;02/01/2012;0;1;Monday;winter;5.2;0;0;0;0;510;187;39;23;1228;420;69.9;58;405;37;2.5;0.07;0.353;110;0;0;0;63633;7.16
STLOUIS;03/01/2012;1;1;Tuesday;winter;0.6;0;0;0;0;481;198;42;20;1393;431;68.6;50;456;33;2.5;0.08;0.3;106;0;0;0;63857;7.26
STLOUIS;04/01/2012;2;1;Wednesday;winter;2.8;0;0;0;0;451;177;41;20;1477;423;67.5;65;454;44;2.4;0.07;0.3;92;0;0;0;61058;7.12
STLOUIS;05/01/2012;3;1;Thursday;winter;3.1;0;0;0;0;449;173;26;18;1316;432;66.5;48;472;38;2.3;0.06;0.3;95;0;0;0;61084;7.49
STLOUIS;06/01/2012;4;1;Friday;winter;4.0;0;0;0;0;432;173;38;15;1326;439;65.6;53;455;36;2.3;0.07;0.3;100;0;0;0;61820;7.36
STLOUIS;07/01/2012;5;1;Saturday;winter;5.4;0;0;0;0;403;136;32;15;1309;460;69.5;53;455;15;2.4;0.07;0.3;87;0;1;0;61879;7.27
STLOUIS;08/01/2012;6;1;Sunday;winter;3.3;0;0;0;0;420;138;33;16;1226;460;68.3;46;479;15;2.2;0.07;0.3;97;0;0;0;61476;7.55
STLOUIS;09/01/2012;0;1;Monday;winter;4.2;0;0;0;0;506;206;33;19;1400;414;67.1;55;471;43;2.3;0.06;0.307;135;0;0;0;64697;7.7
STLOUIS;10/01/2012;1;1;Tuesday;winter;5.9;0;0;0;0;494;180;38;16;1297;417;65.4;59;482;31;2.3;0.06;0.324;99;0;0;0;63248;7.17
STLOUIS;11/01/2012;2;1;Wednesday;winter;9.6;0;0;0;0;467;173;37;19;1372;425;63.5;55;444;33;2.0;0.07;0.3;96;0;0;0;63012;7.42
STLOUIS;12/01/2012;3;1;Thursday;winter;2.5;0;0;0;0;450;176;37;23;1401;427;62.0;46;478;48;2.4;0.09;0.3;105;0;0;0;61218;7.41
STLOUIS;13/01/2012;4;1;Friday;winter;2.0;0;0;0;0;431;178;38;15;1381;450;60.6;49;449;39;2.4;0.06;0.3;99;0;0;0;59775;7.56
STLOUIS;14/01/2012;5;1;Saturday;winter;0.9;0;0;0;0;406;151;28;14;1256;423;58.8;61;465;17;2.3;0.07;0.3;89;0;0;0;59705;7.18
STLOUIS;15/01/2012;6;1;Sunday;winter;2.1;0;0;0;0;416;160;29;17;1410;416;56.4;55;444;19;2.2;0.07;0.3;89;0;0;1;59123;7.41
STLOUIS;16/01/2012;0;1;Monday;winter;1.9;0;0;0;0;513;173;37;20;1404;436;55.9;51;456;43;2.4;0.07;0.311;98;0;0;0;64310;7.64
STLOUIS;17/01/2012;1;1;Tuesday;winter;4.8;0;0;0;0;487;180;44;19;1307;425;54.3;63;429;34;2.4;0.07;0.317;112;0;0;0;63646;7.23
STLOUIS;18/01/2012;2;1;Wednesday;winter;6.6;0;0;0;0;476;191;39;20;1370;451;53.2;39;455;43;2.3;0.07;0.3;103;0;0;0;64554;7.6
STLOUIS;19/01/2012;3;1;Thursday;winter;6.9;0;0;0;0;452;169;38;18;1431;453;60.3;49;436;36;2.4;0.07;0.3;90;0;1;0;62436;7.41
STLOUIS;20/01/2012;4;1;Friday;winter;2.0;0;0;0;0;440;166;31;17;1321;421;58.6;48;468;37;2.1;0.07;0.3;102;0;0;0;62511;7.73
STLOUIS;21/01/2012;5;1;Saturday;winter;3.4;0;0;0;0;391;140;28;16;1380;431;56.3;48;473;20;2.2;0.09;0.3;93;0;0;0;58985;7.48
STLOUIS;22/01/2012;6;1;Sunday;winter;4.3;0;0;0;0;413;151;31;19;1316;413;53.8;52;457;15;2.2;0.07;0.3;80;0;0;0;62819;7.47
STLOUIS;23/01/2012;0;1;Monday;winter;5.6;0;0;0;0;501;186;45;22;1308;421;52.7;55;463;36;2.2;0.06;0.326;111;0;0;0;66102;7.14
STLOUIS;24/01/2012;1;1;Tuesday;winter;6.9;0;0;0;0;489;180;37;18;1304;458;50.0;60;448;33;2.0;0.08;0.319;100;0;0;0;62760;7.11
STLOUIS;25/01/2012;2;1;Wednesday;winter;3.5;0;0;0;0;476;185;34;19;1404;432;47.6;48;477;38;2.2;0.08;0.3;114;0;0;0;62022;7.42
STLOUIS;26/01/2012;3;1;Thursday;winter;5.6;0;0;0;0;459;182;43;18;1328;442;45.0;50;451;36;2.2;0.07;0.3;110;0;0;0;62606;7.23
STLOUIS;27/01/2012;4;1;Friday;winter;2.9;0;0;0;0;429;158;38;15;1328;444;41.7;48;456;41;2.3;0.07;0.3;88;0;0;0;62633;7.55
STLOUIS;28/01/2012;5;1;Saturday;winter;5.6;0;0;0;0;385;147;34;17;1410;446;41.1;57;436;20;2.4;0.06;0.3;93;0;0;0;58814;7.26
STLOUIS;29/01/2012;6;1;Sunday;winter;3.9;0;0;0;0;408;157;32;19;1350;416;45.7;55;444;17;2.3;0.08;0.3;110;0;1;0;60399;7.26
STLOUIS;30/01/2012;0;1;Monday;winter;4.8;0;0;0;0;503;213;30;20;1341;431;51.2;49;473;37;2.3;0.07;0.319;136;0;1;0;64258;7.22
STLOUIS;31/01/2012;1;1;Tuesday;winter;8.6;0;0;0;0;491;189;39;19;1281;438;56.1;50;452;40;2.4;0.05;0.326;107;0;1;0;62227;7.26
STLOUIS;01/02/2012;2;2;Wednesday;winter;6.5;0;0;0;0;456;182;42;21;1266;433;54.5;43;436;41;2.4;0.06;0.306;110;0;0;0;63431;7.39
STLOUIS;02/02/2012;3;2;Thursday;winter;4.2;0;0;0;0;439;161;32;15;1380;451;53.6;43;441;41;2.2;0.06;0.3;97;0;0;0;59549;7.82
STLOUIS;03/02/2012;4;2;Friday;winter;6.9;0;0;0;0;424;169;35;18;1288;434;58.3;47;436;39;2.2;0.07;0.3;105;0;1;0;62403;7.47
STLOUIS;04/02/2012;5;2;Saturday;winter;2.9;0;0;0;0;387;144;35;15;1282;412;63.7;51;442;18;2.4;0.06;0.3;98;0;1;0;59207;7.69
STLOUIS;05/02/2012;6;2;Sunday;winter;5.3;0;0;0;0;404;168;32;17;1372;417;69.0;60;445;20;2.1;0.06;0.3;95;0;1;0;59914;7.25
STLOUIS;06/02/2012;0;2;Monday;winter;5.3;0;0;0;0;490;186;44;19;1285;441;65.4;59;448;38;2.4;0.06;0.324;115;0;0;0;63381;7.26
STLOUIS;07/02/2012;1;2;Tuesday;winter;5.8;0;0;0;0;467;191;33;17;1423;428;64.2;51;455;39;2.2;0.06;0.3;110;0;0;0;61340;7.47
STLOUIS;08/02/2012;2;2;Wednesday;winter;7.1;0;0;0;0;449;182;33;17;1200;436;62.2;44;437;37;2.3;0.07;0.318;105;0;0;0;62956;7.42
STLOUIS;09/02/2012;3;2;Thursday;winter;7.0;0;0;0;0;434;172;40;19;1318;453;59.3;48;431;33;2.4;0.07;0.3;100;0;0;0;61295;7.78
STLOUIS;10/02/2012;4;2;Friday;winter;8.8;0;0;0;0;411;148;33;21;1413;437;58.7;51;454;39;2.3;0.06;0.3;82;0;0;0;60583;7.26
STLOUIS;11/02/2012;5;2;Saturday;winter;10.3;0;0;0;0;384;148;31;16;1321;425;59.5;48;426;21;2.4;0.09;0.3;87;0;0;0;57980;7.44
STLOUIS;12/02/2012;6;2;Sunday;winter;4.7;0;0;0;0;405;138;29;19;1393;416;65.5;53;461;17;2.5;0.07;0.3;74;0;1;0;61659;7.49
STLOUIS;13/02/2012;0;2;Monday;winter;4.3;0;0;0;0;478;191;35;18;1396;453;64.5;56;447;35;2.2;0.06;0.3;114;0;0;0;65745;7.2
STLOUIS;14/02/2012;1;2;Tuesday;winter;6.3;0;0;0;0;465;191;38;18;1309;457;70.8;47;407;43;2.3;0.06;0.302;121;0;1;0;64107;7.56
STLOUIS;15/02/2012;2;2;Wednesday;winter;7.2;0;0;0;0;451;171;35;18;1319;414;68.3;52;464;39;2.2;0.07;0.3;108;0;0;0;58720;7.18
STLOUIS;16/02/2012;3;2;Thursday;winter;2.0;0;0;0;0;432;165;34;16;1296;432;66.6;56;437;33;2.1;0.07;0.3;107;0;0;0;63256;7.52
STLOUIS;17/02/2012;4;2;Friday;winter;7.3;0;0;0;0;415;156;30;14;1301;431;65.1;57;403;31;2.4;0.08;0.3;94;0;0;0;62672;7.56
STLOUIS;18/02/2012;5;2;Saturday;winter;6.2;0;0;0;0;378;140;34;13;1309;435;64.2;49;428;30;2.4;0.07;0.3;83;0;0;0;58401;7.43
STLOUIS;19/02/2012;6;2;Sunday;winter;3.0;0;0;0;0;406;166;31;18;1315;436;61.6;49;429;19;2.4;0.07;0.3;96;0;0;0;60229;7.3
STLOUIS;20/02/2012;0;2;Monday;winter;1.1;0;0;0;0;489;207;43;22;1296;433;66.6;50;419;40;2.4;0.07;0.321;156;0;1;0;65763;7.43
STLOUIS;21/02/2012;1;2;Tuesday;winter;-0.8;0;0;0;0;471;190;37;18;1296;435;71.5;47;414;36;2.3;0.07;0.309;105;0;1;0;64157;7.67
STLOUIS;22/02/2012;2;2;Wednesday;winter;4.7;0;0;0;0;451;169;37;17;1402;438;76.7;51;440;33;2.4;0.09;0.3;94;0;1;0;61421;7.58
STLOUIS;23/02/2012;3;2;Thursday;winter;5.9;0;0;0;0;434;182;34;16;1377;420;74.0;57;450;39;2.2;0.07;0.3;101;0;0;0;62016;7.28
STLOUIS;24/02/2012;4;2;Friday;winter;2.2;0;0;0;0;404;151;40;16;1270;432;73.3;46;442;34;2.4;0.07;0.3;84;0;0;0;59155;7.21
STLOUIS;25/02/2012;5;2;Saturday;winter;2.4;0;0;0;0;384;146;26;10;1342;450;72.1;54;455;16;2.4;0.08;0.3;77;0;0;0;57524;7.18
STLOUIS;26/02/2012;6;2;Sunday;winter;8.2;0;0;0;0;404;151;31;18;1374;451;70.6;50;431;16;2.4;0.07;0.3;91;0;0;0;57890;7.67
STLOUIS;27/02/2012;0;2;Monday;winter;7.1;0;0;0;0;482;179;41;19;1332;407;69.5;50;442;38;2.4;0.08;0.308;97;0;0;0;63103;7.32
STLOUIS;28/02/2012;1;2;Tuesday;winter;7.1;0;0;0;0;469;174;35;13;1295;438;68.9;55;427;38;2.3;0.06;0.308;109;0;0;0;65474;7.44
STLOUIS;29/02/2012;2;2;Wednesday;winter;6.3;0;0;0;0;450;166;37;19;1415;428;67.3;56;428;39;2.4;0.08;0.3;103;0;0;0;63603;6.93
STLOUIS;01/03/2012;3;3;Thursday;spring;13.4;0;0;0;0;407;161;28;16;1317;434;65.1;45;440;33;2.4;0.07;0.3;96;0;0;0;59642;7.5
STLOUIS;02/03/2012;4;3;Friday;spring;10.0;0;0;0;0;412;166;33;14;1305;411;64.0;55;436;35;2.0;0.06;0.3;95;0;0;0;58801;7.31
STLOUIS;03/03/2012;5;3;Saturday;spring;3.5;0;0;0;0;356;139;31;15;1342;436;61.8;51;409;18;2.2;0.08;0.3;92;0;0;0;59471;7.42
STLOUIS;04/03/2012;6;3;Sunday;spring;8.3;0;0;0;0;391;153;28;19;1330;444;61.0;39;422;19;2.2;0.07;0.3;83;0;0;0;57386;7.52
STLOUIS;05/03/2012;0;3;Monday;spring;8.9;0;0;0;0;472;202;39;22;1313;436;68.2;56;447;29;2.3;0.07;0.306;116;0;1;0;62701;7.42
STLOUIS;06/03/2012;1;3;Tuesday;spring;8.5;0;0;0;0;445;167;35;16;1316;437;72.6;48;439;36;2.2;0.06;0.3;95;0;1;0;60400;7.5
STLOUIS;07/03/2012;2;3;Wednesday;spring;8.7;0;0;0;0;436;166;36;17;1295;439;69.0;58;400;35;2.4;0.08;0.3;113;0;0;0;63812;7.24
STLOUIS;08/03/2012;3;3;Thursday;spring;11.9;0;0;0;0;425;163;30;16;1435;411;73.4;48;410;38;2.1;0.07;0.3;104;0;1;0;64360;7.2
STLOUIS;09/03/2012;4;3;Friday;spring;11.7;0;0;0;0;390;156;35;16;1262;428;70.2;60;425;42;2.5;0.07;0.3;85;0;0;0;58681;7.0
STLOUIS;10/03/2012;5;3;Saturday;spring;11.7;0;0;0;0;368;137;30;16;1296;422;68.8;40;399;30;2.2;0.07;0.3;76;0;0;0;57538;7.76
STLOUIS;11/03/2012;6;3;Sunday;spring;6.5;0;0;0;0;384;129;31;16;1317;425;69.7;51;427;18;2.3;0.08;0.3;77;0;0;0;59895;7.09
STLOUIS;12/03/2012;0;3;Monday;spring;7.3;0;0;0;0;462;208;38;22;1359;434;69.8;55;415;37;2.1;0.08;0.3;110;0;0;0;62891;7.2
STLOUIS;13/03/2012;1;3;Tuesday;spring;9.1;0;0;0;0;444;160;29;21;1315;434;74.1;53;411;34;2.4;0.07;0.3;105;0;1;0;61862;7.66
STLOUIS;14/03/2012;2;3;Wednesday;spring;8.5;0;0;0;0;441;181;37;16;1260;419;80.3;57;435;34;2.4;0.07;0.3;123;0;1;0;62262;7.13
STLOUIS;15/03/2012;3;3;Thursday;spring;11.9;0;0;0;0;419;153;34;21;1340;419;79.1;52;395;35;2.3;0.07;0.3;97;0;0;0;61669;7.69
STLOUIS;16/03/2012;4;3;Friday;spring;10.0;0;0;0;0;403;155;34;16;1271;404;77.3;54;407;38;2.3;0.07;0.3;78;0;0;0;59605;7.43
STLOUIS;17/03/2012;5;3;Saturday;spring;7.6;0;0;0;0;369;146;26;13;1410;416;73.6;45;414;17;2.3;0.07;0.3;96;0;0;0;55892;7.34
STLOUIS;18/03/2012;6;3;Sunday;spring;7.5;0;0;0;0;383;137;31;17;1472;445;72.5;47;431;23;2.5;0.07;0.3;87;0;0;0;60856;7.57
STLOUIS;19/03/2012;0;3;Monday;spring;6.9;0;0;0;0;472;179;40;17;1344;444;77.3;44;434;32;2.1;0.07;0.3;109;0;1;0;63157;7.53
STLOUIS;20/03/2012;1;3;Tuesday;spring;9.1;0;0;0;0;441;162;33;19;1272;438;75.8;53;441;44;2.5;0.06;0.3;96;0;0;0;61301;7.64
STLOUIS;21/03/2012;2;3;Wednesday;spring;11.8;0;0;0;0;446;173;37;19;1267;458;73.2;48;447;37;2.4;0.07;0.3;124;0;0;0;60409;7.47
STLOUIS;22/03/2012;3;3;Thursday;spring;13.6;0;0;0;0;423;172;40;18;1277;451;70.3;52;414;35;2.3;0.08;0.3;95;0;0;0;63547;7.49
STLOUIS;23/03/2012;4;3;Friday;spring;11.2;0;0;0;0;402;129;31;16;1404;427;66.1;52;435;38;2.1;0.06;0.3;75;0;0;0;60814;7.52
STLOUIS;24/03/2012;5;3;Saturday;spring;8.0;0;0;0;0;369;135;28;14;1266;443;62.8;36;383;20;2.3;0.08;0.3;90;0;0;0;57980;7.61
STLOUIS;25/03/2012;6;3;Sunday;spring;9.3;0;0;0;0;372;158;31;14;1376;434;59.9;47;431;20;2.3;0.06;0.3;106;0;0;0;58329;7.51
STLOUIS;26/03/2012;0;3;Monday;spring;12.5;0;0;0;0;462;171;42;21;1276;440;65.6;33;386;37;2.2;0.06;0.308;92;0;1;0;64002;7.61
STLOUIS;27/03/2012;1;3;Tuesday;spring;10.3;0;0;0;0;451;173;30;20;1219;407;64.0;47;410;38;2.5;0.07;0.314;107;0;0;0;62624;7.29
STLOUIS;28/03/2012;2;3;Wednesday;spring;4.8;0;0;0;0;429;190;27;18;1272;433;68.3;41;411;33;2.2;0.07;0.3;116;0;1;0;59969;7.47
STLOUIS;29/03/2012;3;3;Thursday;spring;11.0;0;0;0;0;411;161;30;18;1367;435;74.8;40;432;37;2.5;0.08;0.3;94;0;1;0;60679;7.43
STLOUIS;30/03/2012;4;3;Friday;spring;8.6;0;0;0;0;406;164;30;19;1345;436;74.0;51;423;36;2.2;0.07;0.3;92;0;0;0;61574;7.35
STLOUIS;31/03/2012;5;3;Saturday;spring;11.7;0;0;0;0;359;139;25;13;1346;444;72.8;45;423;16;2.4;0.07;0.3;80;0;0;0;60199;7.78
STLOUIS;01/04/2012;6;4;Sunday;spring;9.5;0;0;0;0;352;133;28;12;1295;430;77.5;37;418;16;2.2;0.07;0.3;70;0;1;0;59420;7.38
STLOUIS;02/04/2012;0;4;Monday;spring;12.2;0;0;0;0;431;181;36;13;1386;416;75.5;52;397;35;2.3;0.07;0.3;110;0;0;0;60797;7.33
STLOUIS;03/04/2012;1;4;Tuesday;spring;12.4;0;0;0;0;410;163;33;16;1315;441;73.4;45;411;31;2.4;0.07;0.3;87;0;0;0;59526;7.43
STLOUIS;04/04/2012;2;4;Wednesday;spring;12.6;0;0;0;0;394;149;29;16;1340;449;73.1;46;409;37;2.5;0.08;0.3;84;0;0;0;59578;7.95
STLOUIS;05/04/2012;3;4;Thursday;spring;14.3;0;0;0;0;376;147;33;10;1343;432;72.0;47;376;43;2.5;0.06;0.3;88;0;0;0;55882;7.15
STLOUIS;06/04/2012;4;4;Friday;spring;17.0;0;0;0;0;374;142;26;14;1412;418;69.0;45;387;41;2.3;0.07;0.3;79;0;0;0;56237;7.52
STLOUIS;07/04/2012;5;4;Saturday;spring;9.3;0;0;0;0;338;127;28;16;1297;425;67.2;37;374;15;2.2;0.09;0.3;80;0;0;0;58169;7.33
STLOUIS;08/04/2012;6;4;Sunday;spring;12.4;0;0;0;0;355;137;29;12;1298;431;64.8;47;378;22;2.1;0.07;0.3;81;0;0;0;59692;7.41
STLOUIS;09/04/2012;0;4;Monday;spring;17.1;0;0;0;0;431;158;39;20;1338;448;62.1;39;351;36;2.2;0.07;0.3;94;0;0;0;60887;7.69
STLOUIS;10/04/2012;1;4;Tuesday;spring;10.1;0;0;0;0;420;158;30;21;1279;421;59.8;51;404;42;2.0;0.07;0.3;94;0;0;0;61480;7.56
STLOUIS;11/04/2012;2;4;Wednesday;spring;13.1;0;0;0;0;403;153;31;15;1299;444;57.4;52;368;28;2.2;0.07;0.3;96;0;0;0;61806;7.22
STLOUIS;12/04/2012;3;4;Thursday;spring;14.5;0;0;0;0;388;136;31;14;1434;422;60.9;51;373;37;2.4;0.06;0.3;81;0;1;0;59234;7.39
STLOUIS;13/04/2012;4;4;Friday;spring;10.6;0;0;0;0;370;146;32;13;1327;416;59.9;45;391;46;2.2;0.07;0.3;78;0;0;0;59910;7.51
STLOUIS;14/04/2012;5;4;Saturday;spring;12.2;0;0;0;0;334;134;26;13;1290;420;59.8;46;401;16;2.4;0.07;0.3;83;0;0;0;55701;7.46
STLOUIS;15/04/2012;6;4;Sunday;spring;14.4;0;0;0;0;340;129;25;13;1319;425;63.6;36;381;21;2.4;0.07;0.3;80;0;1;0;60086;7.55
STLOUIS;16/04/2012;0;4;Monday;spring;16.9;0;0;0;0;430;170;31;21;1334;436;61.0;39;385;40;2.3;0.06;0.3;107;0;0;0;62956;7.92
STLOUIS;17/04/2012;1;4;Tuesday;spring;8.1;0;0;0;0;425;146;32;14;1357;424;65.5;48;388;29;2.3;0.09;0.3;90;0;1;0;61307;7.32
STLOUIS;18/04/2012;2;4;Wednesday;spring;13.4;0;0;0;0;399;154;29;18;1327;428;63.3;58;379;37;2.5;0.07;0.3;91;0;0;0;55887;6.93
STLOUIS;19/04/2012;3;4;Thursday;spring;16.1;0;0;0;0;384;158;27;16;1291;453;62.6;62;378;32;2.3;0.08;0.3;91;0;0;0;58317;7.51
STLOUIS;20/04/2012;4;4;Friday;spring;13.2;0;0;0;0;363;145;30;15;1373;440;67.9;37;392;34;2.4;0.07;0.3;88;0;1;0;58743;7.81
STLOUIS;21/04/2012;5;4;Saturday;spring;14.6;0;0;0;0;339;123;24;13;1352;433;67.0;47;380;25;2.3;0.07;0.3;65;0;0;0;58510;7.78
STLOUIS;22/04/2012;6;4;Sunday;spring;14.2;0;0;0;0;342;138;30;14;1303;420;72.7;42;364;18;2.3;0.05;0.3;89;0;1;0;57502;7.76
STLOUIS;23/04/2012;0;4;Monday;spring;14.7;0;0;0;0;437;173;36;17;1295;424;77.3;46;371;41;2.5;0.07;0.3;85;0;1;0;61014;7.16
STLOUIS;24/04/2012;1;4;Tuesday;spring;8.4;0;0;0;0;422;154;32;18;1280;414;76.3;62;376;36;2.1;0.06;0.3;93;0;0;0;61076;7.37
STLOUIS;25/04/2012;2;4;Wednesday;spring;9.3;0;0;0;1;556;201;50;21;1316;440;75.8;60;360;37;2.4;0.06;0.359;118;0;0;0;66503;7.38
STLOUIS;26/04/2012;3;4;Thursday;spring;11.0;0;0;0;0;382;142;28;16;1381;435;72.9;40;389;45;2.5;0.07;0.3;93;0;0;0;57245;7.41
STLOUIS;27/04/2012;4;4;Friday;spring;12.3;0;0;0;0;363;144;30;14;1274;423;80.3;43;407;40;2.1;0.07;0.3;82;0;1;0;56969;7.47
STLOUIS;28/04/2012;5;4;Saturday;spring;8.2;0;0;0;0;333;124;21;17;1283;435;84.8;36;419;27;2.3;0.06;0.3;72;0;1;0;57368;7.28
STLOUIS;29/04/2012;6;4;Sunday;spring;13.3;0;0;0;0;355;133;27;14;1236;452;82.6;50;406;19;2.1;0.07;0.3;67;0;0;0;58816;7.19
