date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;-0.7;0;1;0;0;345;154;26;17;1353;429;71.1;65;345;22;2.3;0.09;0.481;98;0;0;0;59506;7.08
02/01/2023;0;1;Monday;winter;1.8;0;0;0;0;494;177;40;20;1384;416;66.0;58;345;47;2.3;0.07;0.544;86;0;0;0;64148;7.51
03/01/2023;1;1;Tuesday;winter;0.4;0;0;0;0;444;171;39;21;1363;422;75.4;47;420;49;2.3;0.07;0.563;95;0;1;0;59439;7.66
04/01/2023;2;1;Wednesday;winter;8.3;0;0;0;0;458;171;37;22;1453;418;73.2;45;428;45;2.3;0.08;0.524;95;0;0;0;64450;8.03
05/01/2023;3;1;Thursday;winter;4.3;0;0;0;0;441;161;45;23;1361;418;68.3;45;435;47;2.3;0.08;0.483;95;0;0;0;62253;8.02
06/01/2023;4;1;Friday;winter;4.5;0;0;0;0;357;150;26;18;1429;411;67.6;48;436;44;2.3;0.08;0.409;104;0;1;0;52832;7.55
07/01/2023;5;1;Saturday;winter;-2.9;0;0;0;0;387;147;30;14;1373;427;70.8;46;423;24;2.3;0.07;0.475;64;0;0;0;61717;7.66
08/01/2023;6;1;Sunday;winter;-0.5;0;0;0;0;329;137;20;14;1500;418;73.3;45;418;23;2.3;0.08;0.386;94;0;0;0;53165;7.59
09/01/2023;0;1;Monday;winter;-1.3;0;1;0;0;474;208;46;29;1397;419;68.8;64;416;44;2.3;0.09;0.595;116;0;0;0;66357;7.25
10/01/2023;1;1;Tuesday;winter;-1.9;0;0;0;0;417;132;38;20;1423;424;76.0;40;413;42;2.3;0.08;0.512;99;0;1;0;61371;7.84
11/01/2023;2;1;Wednesday;winter;0.7;0;1;0;0;421;203;28;20;1445;411;71.8;58;409;43;2.3;0.1;0.5;111;0;0;0;59121;7.75
12/01/2023;3;1;Thursday;winter;7.4;0;0;0;0;409;163;30;16;1380;412;66.9;58;404;48;2.3;0.07;0.513;112;0;0;0;59690;7.34
13/01/2023;4;1;Friday;winter;-0.7;0;0;0;0;383;140;24;15;1383;420;79.2;34;399;45;2.3;0.06;0.437;84;0;1;0;55941;7.96
14/01/2023;5;1;Saturday;winter;3.7;0;0;0;0;356;131;33;15;1323;420;72.6;36;403;28;2.3;0.08;0.413;91;0;0;0;63767;7.54
15/01/2023;6;1;Sunday;winter;-4.0;0;0;0;0;315;121;20;14;1383;411;76.0;38;398;29;2.3;0.08;0.448;83;0;0;0;59874;7.91
16/01/2023;0;1;Monday;winter;0.8;0;0;0;0;446;146;30;18;1365;419;73.9;49;396;43;2.3;0.09;0.576;65;0;0;0;61893;7.53
17/01/2023;1;1;Tuesday;winter;1.1;0;0;0;0;422;163;34;18;1521;409;80.1;54;392;41;2.3;0.08;0.439;86;0;1;0;61775;7.7
18/01/2023;2;1;Wednesday;winter;7.7;0;0;0;0;447;165;36;18;1349;424;66.6;53;393;47;2.3;0.09;0.561;85;0;0;0;67228;7.81
19/01/2023;3;1;Thursday;winter;3.9;0;0;0;0;412;148;33;17;1412;414;68.1;44;397;37;2.3;0.09;0.496;96;0;0;0;61746;7.6
20/01/2023;4;1;Friday;winter;2.4;0;0;0;0;434;161;38;15;1469;425;73.9;56;397;43;2.3;0.08;0.515;73;0;1;0;62996;7.66
21/01/2023;5;1;Saturday;winter;3.7;0;0;0;0;357;135;26;20;1431;414;78.6;31;405;24;2.3;0.07;0.403;78;0;0;0;62662;8.17
22/01/2023;6;1;Sunday;winter;10.6;0;0;0;0;322;129;31;16;1436;418;73.1;52;405;25;2.3;0.07;0.407;61;0;0;0;57281;7.8
23/01/2023;0;1;Monday;winter;7.4;0;0;0;0;465;180;33;20;1434;412;69.3;51;406;39;2.3;0.09;0.485;98;0;0;0;63463;8.02
24/01/2023;1;1;Tuesday;winter;2.5;0;3;0;0;507;226;32;39;1453;392;70.6;92;408;45;2.3;0.13;0.769;77;2;1;0;67006;7.2
25/01/2023;2;1;Wednesday;winter;4.3;0;0;0;0;383;134;28;14;1425;445;74.9;52;421;41;2.3;0.08;0.434;71;0;0;0;61379;7.72
26/01/2023;3;1;Thursday;winter;3.1;0;0;0;0;410;173;32;18;1345;407;72.0;49;411;47;2.3;0.1;0.487;111;0;0;0;61135;7.38
27/01/2023;4;1;Friday;winter;1.4;0;0;0;0;348;131;28;18;1400;413;71.1;28;411;42;2.3;0.07;0.383;78;0;0;0;63333;7.86
28/01/2023;5;1;Saturday;winter;4.5;0;0;0;0;314;120;22;13;1329;439;63.9;34;399;30;2.3;0.07;0.424;67;0;0;0;48984;7.94
29/01/2023;6;1;Sunday;winter;3.8;0;0;0;1;341;133;29;17;1382;418;75.5;46;393;27;2.3;0.05;0.397;93;0;0;0;55789;7.5
30/01/2023;0;1;Monday;winter;6.6;0;0;0;0;440;192;38;15;1384;400;73.5;48;395;43;2.3;0.09;0.542;108;0;0;0;60301;7.75
31/01/2023;1;1;Tuesday;winter;8.4;0;0;0;0;408;162;32;13;1438;427;72.6;36;392;48;2.3;0.09;0.498;77;0;1;0;61038;8.01
01/02/2023;2;2;Wednesday;winter;1.1;0;0;0;0;475;170;45;18;1413;421;69.4;44;378;45;2.3;0.07;0.525;102;0;0;0;61625;7.48
02/02/2023;3;2;Thursday;winter;4.6;0;0;0;0;409;142;30;16;1351;411;77.4;41;391;46;2.3;0.08;0.514;97;0;0;0;60178;7.85
03/02/2023;4;2;Friday;winter;5.6;0;0;0;0;423;158;18;17;1397;421;74.3;35;391;44;2.3;0.07;0.474;105;0;1;0;67238;7.84
04/02/2023;5;2;Saturday;winter;7.2;0;0;0;0;350;118;24;15;1367;397;75.6;29;401;25;2.3;0.07;0.475;83;0;0;0;56400;7.74
05/02/2023;6;2;Sunday;winter;5.2;0;0;0;0;367;139;33;14;1399;421;70.2;46;407;25;2.3;0.08;0.426;107;0;0;0;57298;7.59
06/02/2023;0;2;Monday;winter;7.1;0;0;0;0;456;176;44;18;1412;401;70.2;68;410;43;2.3;0.07;0.511;117;0;0;0;69454;7.58
07/02/2023;1;2;Tuesday;winter;3.2;0;0;0;0;349;131;32;16;1395;416;78.1;40;413;44;2.3;0.07;0.419;76;0;1;0;57586;7.93
08/02/2023;2;2;Wednesday;winter;3.7;0;0;0;0;365;140;19;14;1469;424;68.8;50;404;46;2.3;0.1;0.431;68;0;0;0;57075;7.78
09/02/2023;3;2;Thursday;winter;1.4;0;0;0;0;441;178;32;18;1384;405;67.8;43;388;42;2.3;0.1;0.553;100;0;0;0;67602;7.77
10/02/2023;4;2;Friday;winter;4.0;0;0;0;0;368;153;31;16;1338;423;79.8;34;393;41;2.3;0.07;0.434;89;0;1;0;57485;7.66
11/02/2023;5;2;Saturday;winter;8.7;0;2;0;0;407;176;39;23;1389;422;75.8;54;385;21;2.7;0.11;0.617;99;1;0;0;59535;7.75
12/02/2023;6;2;Sunday;winter;2.0;0;0;0;0;327;115;28;13;1375;422;67.0;46;393;26;2.3;0.09;0.411;57;0;0;0;50501;7.72
13/02/2023;0;2;Monday;winter;2.9;0;0;0;0;429;162;41;17;1405;409;66.0;43;388;40;2.3;0.07;0.449;84;0;0;0;62791;7.76
14/02/2023;1;2;Tuesday;winter;7.7;0;0;0;0;397;128;38;14;1441;434;75.6;47;384;47;2.3;0.09;0.487;82;0;1;0;60552;7.44
15/02/2023;2;2;Wednesday;winter;11.2;0;0;0;0;380;142;26;14;1440;411;70.2;37;391;48;2.3;0.07;0.425;52;0;0;0;64195;7.66
16/02/2023;3;2;Thursday;winter;4.3;0;1;0;0;411;188;31;25;1473;423;77.7;52;393;38;2.3;0.08;0.521;94;0;0;0;58003;7.91
17/02/2023;4;2;Friday;winter;7.6;0;0;0;0;435;165;40;12;1432;401;82.1;54;388;46;2.3;0.09;0.499;83;0;1;0;59547;7.78
18/02/2023;5;2;Saturday;winter;2.9;0;0;0;0;349;135;23;13;1364;429;69.6;44;398;26;2.3;0.09;0.38;96;0;0;0;56055;7.46
19/02/2023;6;2;Sunday;winter;10.8;0;2;0;0;381;187;34;29;1394;419;73.7;64;390;19;2.3;0.1;0.631;113;1;0;0;60531;7.13
20/02/2023;0;2;Monday;winter;8.1;0;0;0;0;448;170;34;18;1282;419;68.5;62;397;48;2.3;0.09;0.571;93;0;0;0;63216;7.75
21/02/2023;1;2;Tuesday;winter;5.9;0;1;0;0;462;197;48;22;1319;414;72.9;70;400;47;2.3;0.1;0.618;103;0;1;0;69380;7.26
22/02/2023;2;2;Wednesday;winter;5.8;0;0;0;0;450;160;29;15;1372;430;69.4;51;409;43;2.3;0.08;0.607;67;0;0;0;66624;7.71
23/02/2023;3;2;Thursday;winter;9.9;0;0;0;0;466;174;43;20;1428;407;68.9;46;419;46;2.3;0.08;0.534;74;0;0;0;60630;7.62
24/02/2023;4;2;Friday;winter;5.4;0;0;0;0;377;140;29;16;1447;389;85.7;30;427;38;2.3;0.1;0.438;95;0;1;0;60754;8.16
25/02/2023;5;2;Saturday;winter;9.3;0;2;0;0;402;178;29;22;1357;414;79.3;68;419;25;2.3;0.1;0.628;84;1;0;0;60109;7.15
26/02/2023;6;2;Sunday;winter;5.1;0;0;0;0;321;121;25;11;1495;441;73.1;36;427;21;2.3;0.07;0.372;103;0;0;0;58671;8.09
27/02/2023;0;2;Monday;winter;6.4;0;1;0;0;412;153;24;21;1322;402;69.4;67;418;40;2.3;0.11;0.597;82;0;0;0;57139;7.59
28/02/2023;1;2;Tuesday;winter;8.2;0;0;0;0;411;176;23;12;1353;407;77.6;43;413;47;2.3;0.09;0.511;105;0;1;0;59656;7.53
01/03/2023;2;3;Wednesday;spring;10.7;0;0;0;0;367;133;37;12;1471;436;73.5;41;406;46;2.3;0.07;0.412;82;0;0;0;62166;7.77
02/03/2023;3;3;Thursday;spring;11.4;0;0;0;0;374;125;20;15;1391;421;69.0;44;394;43;2.3;0.09;0.43;72;0;0;0;62524;7.83
03/03/2023;4;3;Friday;spring;11.1;0;0;0;0;382;144;42;15;1285;418;82.3;63;381;47;2.3;0.06;0.465;67;0;1;0;59050;7.4
04/03/2023;5;3;Saturday;spring;7.0;0;1;0;0;318;140;23;17;1361;438;70.3;54;381;27;2.3;0.08;0.427;98;0;0;0;57014;7.45
05/03/2023;6;3;Sunday;spring;16.9;0;0;0;0;307;108;25;10;1482;392;72.6;27;369;24;2.3;0.09;0.325;118;0;0;0;55489;7.77
06/03/2023;0;3;Monday;spring;13.4;0;0;0;0;397;154;38;14;1412;425;68.9;44;367;35;2.3;0.07;0.41;90;0;0;0;63111;7.64
07/03/2023;1;3;Tuesday;spring;3.8;0;2;0;0;516;267;55;25;1506;397;66.5;70;365;41;2.3;0.13;0.726;105;1;0;0;66888;7.32
08/03/2023;2;3;Wednesday;spring;8.1;0;0;0;0;337;122;31;15;1414;430;75.6;50;380;45;2.3;0.1;0.386;72;0;0;0;59628;7.72
09/03/2023;3;3;Thursday;spring;10.1;0;0;0;0;333;139;20;14;1462;421;70.5;45;376;38;2.3;0.09;0.416;80;0;0;0;62553;7.36
10/03/2023;4;3;Friday;spring;13.9;0;0;0;0;371;135;25;18;1459;401;79.1;40;370;45;2.3;0.09;0.401;95;0;1;0;56936;7.76
11/03/2023;5;3;Saturday;spring;7.1;0;0;0;0;303;113;22;10;1414;424;71.1;47;368;28;2.3;0.08;0.334;87;0;0;0;54791;7.43
12/03/2023;6;3;Sunday;spring;10.0;0;0;0;0;322;123;28;13;1345;414;69.1;35;366;26;2.3;0.1;0.442;100;0;0;0;56565;7.67
13/03/2023;0;3;Monday;spring;11.2;0;0;0;0;410;158;41;15;1403;438;68.4;44;368;41;2.3;0.08;0.473;87;0;0;0;62127;7.54
14/03/2023;1;3;Tuesday;spring;9.5;0;0;0;0;406;136;28;18;1433;418;75.3;54;370;43;2.3;0.06;0.471;83;0;1;0;63826;7.63
15/03/2023;2;3;Wednesday;spring;5.0;0;0;0;0;415;155;30;17;1388;419;64.7;47;355;45;2.3;0.08;0.447;98;0;0;0;59836;7.43
16/03/2023;3;3;Thursday;spring;9.6;0;0;0;0;413;152;21;15;1380;407;69.0;41;366;41;2.3;0.07;0.503;69;0;0;0;62519;7.65
17/03/2023;4;3;Friday;spring;10.2;0;0;0;0;356;144;34;16;1427;425;79.6;40;377;47;2.3;0.09;0.36;79;0;1;0;59623;7.59
18/03/2023;5;3;Saturday;spring;5.1;0;1;0;0;378;165;35;20;1399;423;67.7;68;375;22;2.3;0.1;0.481;72;0;0;0;60920;7.14
19/03/2023;6;3;Sunday;spring;13.1;0;0;0;0;321;113;28;14;1437;424;73.3;47;386;23;2.3;0.09;0.357;86;0;0;0;57143;7.56
20/03/2023;0;3;Monday;spring;11.6;0;0;0;0;414;169;36;17;1405;422;70.5;59;386;41;2.3;0.07;0.472;78;0;0;0;59653;7.55
21/03/2023;1;3;Tuesday;spring;12.0;0;0;0;0;403;162;26;18;1458;420;80.9;43;386;40;2.3;0.07;0.444;82;0;1;0;55416;7.47
