date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;2.6;0;0;0;0;316;105;22;11;1569;425;66.9;49;316;21;2.3;0.1;0.341;78;0;0;0;59794;7.54
02/01/2023;0;1;Monday;winter;-2.2;0;0;0;0;445;200;40;17;1394;425;79.5;52;316;41;2.3;0.06;0.495;117;0;0;0;60605;7.66
03/01/2023;1;1;Tuesday;winter;2.0;0;0;0;0;502;177;47;22;1507;458;71.4;59;380;39;2.3;0.08;0.556;65;0;1;0;69132;7.53
04/01/2023;2;1;Wednesday;winter;0.9;0;0;0;0;394;143;34;15;1534;425;70.1;51;421;43;2.3;0.08;0.44;63;0;0;0;60567;7.69
05/01/2023;3;1;Thursday;winter;5.7;0;1;0;0;505;209;31;32;1458;411;59.6;62;414;47;2.3;0.1;0.629;97;0;0;0;63634;7.44
06/01/2023;4;1;Friday;winter;2.0;0;0;0;0;442;182;33;20;1496;430;66.4;33;432;44;2.3;0.05;0.517;109;0;0;0;65352;7.89
07/01/2023;5;1;Saturday;winter;2.7;0;0;0;0;420;148;40;16;1440;441;69.6;58;434;22;2.3;0.07;0.448;90;0;0;0;60341;7.57
08/01/2023;6;1;Sunday;winter;4.4;0;0;0;0;315;114;21;15;1455;429;70.0;39;432;21;2.3;0.08;0.349;88;0;0;0;55060;7.92
09/01/2023;0;1;Monday;winter;3.2;0;0;0;0;443;171;36;15;1453;426;72.4;39;432;49;2.3;0.1;0.51;116;0;0;0;65904;7.43
10/01/2023;1;1;Tuesday;winter;5.8;0;0;0;0;411;164;37;16;1493;426;81.3;35;432;40;2.3;0.08;0.43;104;0;1;0;60316;7.75
11/01/2023;2;1;Wednesday;winter;-0.8;0;0;0;0;482;199;27;21;1482;438;70.5;47;419;44;2.3;0.07;0.622;85;0;0;0;62442;7.94
12/01/2023;3;1;Thursday;winter;-0.5;0;0;0;0;459;180;32;13;1476;420;67.3;44;431;46;2.3;0.08;0.528;84;0;0;0;65796;7.54
13/01/2023;4;1;Friday;winter;0.7;0;1;0;0;473;208;48;24;1442;436;85.1;70;425;43;2.3;0.09;0.635;101;0;1;0;69056;7.34
14/01/2023;5;1;Saturday;winter;3.9;0;0;0;0;329;120;27;13;1438;426;67.7;41;429;24;2.3;0.07;0.41;76;0;0;0;58298;7.83
15/01/2023;6;1;Sunday;winter;12.6;0;0;0;0;330;122;23;16;1495;431;78.3;32;416;24;2.3;0.08;0.336;93;0;0;0;54845;7.91
16/01/2023;0;1;Monday;winter;4.2;0;0;0;0;457;179;42;18;1446;427;71.7;44;418;43;2.3;0.07;0.478;105;0;0;0;65356;7.78
17/01/2023;1;1;Tuesday;winter;-0.9;0;0;0;0;460;163;42;18;1338;416;80.7;58;420;45;2.3;0.08;0.548;77;0;1;0;60151;7.91
18/01/2023;2;1;Wednesday;winter;1.7;0;0;0;0;382;151;26;14;1456;414;77.0;50;427;40;2.3;0.07;0.395;97;0;0;0;60453;7.73
19/01/2023;3;1;Thursday;winter;2.4;0;3;0;0;544;280;48;37;1476;402;59.9;90;413;47;2.7;0.12;0.808;102;2;0;0;65390;6.83
20/01/2023;4;1;Friday;winter;3.4;0;0;0;0;433;162;31;18;1442;407;62.7;47;425;46;2.3;0.08;0.519;65;0;0;0;65967;7.74
21/01/2023;5;1;Saturday;winter;2.1;0;0;0;0;385;145;30;14;1440;427;62.3;38;419;24;2.3;0.07;0.436;98;0;0;0;59728;7.8
22/01/2023;6;1;Sunday;winter;4.6;0;0;0;0;362;144;36;15;1505;427;71.3;44;427;27;2.3;0.1;0.436;93;0;0;0;57392;7.76
23/01/2023;0;1;Monday;winter;-0.4;0;0;1;0;474;185;42;16;1379;433;70.6;48;432;35;2.3;0.09;0.54;84;0;0;0;65078;7.69
24/01/2023;1;1;Tuesday;winter;2.4;0;2;0;0;531;250;38;39;1427;420;75.0;88;434;46;2.7;0.11;0.684;124;1;1;0;67542;7.09
25/01/2023;2;1;Wednesday;winter;3.5;0;0;0;0;453;156;44;15;1497;407;60.2;53;444;44;2.3;0.08;0.554;88;0;0;0;63092;7.29
26/01/2023;3;1;Thursday;winter;5.9;0;0;0;0;468;159;51;18;1477;426;64.9;48;455;41;2.3;0.08;0.467;69;0;0;0;62208;7.82
27/01/2023;4;1;Friday;winter;0.4;0;0;0;0;441;186;27;14;1464;431;83.6;45;444;41;2.3;0.06;0.485;92;0;1;0;60672;7.85
28/01/2023;5;1;Saturday;winter;5.5;0;0;0;0;395;135;33;16;1523;428;73.4;26;445;26;2.3;0.07;0.429;84;0;0;0;61359;7.81
29/01/2023;6;1;Sunday;winter;5.6;0;0;0;0;381;144;25;19;1437;425;70.6;47;446;24;2.3;0.1;0.451;80;0;0;0;58953;7.64
30/01/2023;0;1;Monday;winter;1.5;0;0;0;0;478;176;48;24;1539;437;67.9;52;449;41;2.3;0.09;0.463;120;0;0;0;69984;7.58
31/01/2023;1;1;Tuesday;winter;7.1;0;0;0;0;458;194;46;19;1447;451;74.8;43;450;42;2.3;0.08;0.527;122;0;1;0;60765;7.29
01/02/2023;2;2;Wednesday;winter;6.0;0;0;0;0;384;166;20;16;1496;419;66.0;35;439;41;2.3;0.07;0.424;103;0;0;1;62566;8.18
02/02/2023;3;2;Thursday;winter;4.8;0;0;0;0;460;198;29;20;1525;397;71.5;48;429;40;2.3;0.1;0.531;92;0;0;0;63041;8.01
03/02/2023;4;2;Friday;winter;9.7;0;0;0;0;435;154;36;16;1465;426;82.6;43;428;45;2.3;0.06;0.469;107;0;1;0;64031;7.52
04/02/2023;5;2;Saturday;winter;3.7;0;0;0;0;373;137;36;17;1404;418;74.5;36;427;23;2.3;0.08;0.407;94;0;0;0;60606;8.25
05/02/2023;6;2;Sunday;winter;8.9;0;0;0;0;350;135;25;10;1515;430;74.3;41;424;25;2.3;0.07;0.372;69;0;0;0;55879;7.75
