date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;3.3;0;0;0;0;350;140;30;11;1283;416;75.5;59;350;27;2.3;0.1;0.432;94;0;0;0;58628;7.45
02/01/2023;0;1;Monday;winter;-0.8;0;0;0;0;429;176;43;17;1377;436;69.9;41;350;43;2.3;0.09;0.514;88;0;0;0;58179;8.05
03/01/2023;1;1;Tuesday;winter;6.1;0;0;0;0;385;141;27;15;1316;431;66.8;52;390;38;2.3;0.07;0.524;78;0;0;0;67462;7.48
04/01/2023;2;1;Wednesday;winter;8.6;0;3;0;0;483;276;46;35;1364;396;62.1;78;388;45;2.3;0.14;0.808;88;2;0;0;63895;7.19
05/01/2023;3;1;Thursday;winter;4.6;0;0;0;0;393;143;28;12;1253;426;62.3;52;412;38;2.3;0.1;0.515;101;0;0;0;57305;7.69
06/01/2023;4;1;Friday;winter;-1.9;0;0;0;0;399;160;36;16;1332;430;68.4;50;408;44;2.3;0.09;0.515;86;0;0;0;62619;7.98
07/01/2023;5;1;Saturday;winter;4.1;0;3;0;0;452;213;46;32;1428;407;77.8;100;406;25;2.7;0.12;0.694;93;2;0;0;62067;6.66
08/01/2023;6;1;Sunday;winter;4.5;0;0;0;0;341;138;21;14;1422;436;76.6;22;413;28;2.3;0.07;0.424;98;0;0;0;61314;7.91
09/01/2023;0;1;Monday;winter;5.1;0;0;0;0;430;153;19;17;1217;447;67.6;60;412;41;2.3;0.07;0.602;81;0;0;0;63297;7.37
10/01/2023;1;1;Tuesday;winter;5.9;0;0;0;0;403;164;24;15;1286;427;75.4;56;412;43;2.3;0.08;0.562;80;0;1;0;61224;7.64
11/01/2023;2;1;Wednesday;winter;-0.1;0;0;0;0;420;149;40;14;1293;435;73.1;58;414;45;2.3;0.06;0.52;84;0;0;0;60637;7.56
12/01/2023;3;1;Thursday;winter;5.0;0;0;0;0;433;165;49;12;1285;422;65.6;60;405;42;2.3;0.09;0.568;86;0;0;0;63021;7.65
13/01/2023;4;1;Friday;winter;8.1;0;0;0;0;400;170;25;18;1334;432;77.9;42;411;44;2.3;0.07;0.483;82;0;1;0;64909;7.88
14/01/2023;5;1;Saturday;winter;2.6;0;0;0;0;372;157;35;15;1247;441;78.8;47;411;26;2.3;0.06;0.452;106;0;0;0;57738;7.86
15/01/2023;6;1;Sunday;winter;-0.9;0;0;0;0;338;120;23;14;1243;428;73.9;36;400;25;2.3;0.07;0.434;75;0;0;0;55300;7.75
16/01/2023;0;1;Monday;winter;5.8;0;0;0;0;475;188;45;19;1233;420;64.6;66;399;41;2.3;0.1;0.655;94;0;0;0;63366;7.65
17/01/2023;1;1;Tuesday;winter;0.6;0;1;0;0;441;199;29;23;1387;424;78.9;60;406;38;2.3;0.11;0.602;118;0;1;0;65343;7.5
18/01/2023;2;1;Wednesday;winter;-0.5;0;0;0;0;392;143;27;16;1320;434;68.4;41;411;42;2.3;0.08;0.458;88;0;0;0;64668;7.82
19/01/2023;3;1;Thursday;winter;1.3;0;0;0;0;416;152;31;15;1465;423;73.4;49;407;41;2.3;0.1;0.464;98;0;0;0;66212;7.69
20/01/2023;4;1;Friday;winter;1.1;0;0;0;0;415;166;34;18;1276;431;79.2;52;405;41;2.3;0.09;0.54;93;0;1;0;66824;7.8
21/01/2023;5;1;Saturday;winter;4.8;0;0;0;0;365;114;24;15;1327;427;72.0;41;407;20;2.3;0.1;0.399;91;0;0;0;55495;7.84
