date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;2.2;0;0;0;0;305;130;27;10;1218;357;69.7;38;305;25;2.3;0.09;0.413;105;0;0;0;54186;7.75
02/01/2023;0;1;Monday;winter;8.8;0;1;0;0;431;183;41;30;1187;384;71.3;54;305;45;2.3;0.07;0.675;87;0;0;0;58490;7.75
03/01/2023;1;1;Tuesday;winter;4.9;0;0;0;0;372;147;27;17;1331;350;75.8;60;368;43;2.3;0.08;0.457;101;0;1;0;58379;7.86
04/01/2023;2;1;Wednesday;winter;1.4;0;0;0;0;393;168;36;16;1182;364;69.3;51;369;45;2.3;0.09;0.577;96;0;0;0;60999;7.72
05/01/2023;3;1;Thursday;winter;1.4;0;0;0;0;410;166;31;19;1283;371;68.9;57;375;42;2.3;0.07;0.553;88;0;0;0;63339;7.44
06/01/2023;4;1;Friday;winter;0.9;0;0;0;0;342;134;32;13;1300;378;75.7;40;382;42;2.3;0.06;0.421;81;0;1;0;57731;7.55
07/01/2023;5;1;Saturday;winter;2.5;0;0;0;0;288;126;29;11;1325;356;71.0;44;376;26;2.3;0.07;0.384;71;0;0;0;46764;7.82
08/01/2023;6;1;Sunday;winter;0.3;0;0;0;0;314;124;24;9;1326;379;74.2;44;363;20;2.3;0.09;0.4;87;0;0;0;56506;7.6
09/01/2023;0;1;Monday;winter;0.9;0;0;0;0;391;144;24;14;1225;369;65.3;44;364;40;2.3;0.09;0.529;69;0;0;0;60770;7.46
10/01/2023;1;1;Tuesday;winter;3.1;0;0;0;0;411;130;31;21;1238;364;82.2;58;359;36;2.3;0.07;0.491;97;0;1;0;62242;7.61
11/01/2023;2;1;Wednesday;winter;4.6;0;0;0;0;355;136;16;13;1215;379;71.5;32;364;33;2.3;0.07;0.511;98;0;0;0;61556;7.87
12/01/2023;3;1;Thursday;winter;4.9;0;0;0;0;367;136;35;19;1212;363;77.8;38;359;42;2.3;0.09;0.549;69;0;0;0;52575;7.52
13/01/2023;4;1;Friday;winter;3.9;0;0;0;0;390;158;34;22;1344;376;71.2;46;353;44;2.3;0.09;0.463;80;0;0;0;53778;7.62
14/01/2023;5;1;Saturday;winter;4.4;0;1;0;0;334;143;27;18;1258;358;71.2;52;359;28;2.3;0.12;0.476;79;0;0;0;55625;7.73
15/01/2023;6;1;Sunday;winter;2.3;0;0;0;0;285;123;28;10;1289;367;72.7;28;366;29;2.3;0.07;0.359;65;0;0;0;59158;8.05
16/01/2023;0;1;Monday;winter;5.6;0;0;0;0;362;135;32;11;1230;363;67.1;51;362;45;2.3;0.07;0.486;93;0;0;0;59964;7.71
17/01/2023;1;1;Tuesday;winter;2.2;0;0;0;0;444;167;34;17;1228;366;67.5;59;358;42;2.3;0.05;0.589;84;0;0;0;64583;7.66
18/01/2023;2;1;Wednesday;winter;0.8;0;0;1;0;309;121;23;11;1234;350;75.4;32;362;38;2.3;0.12;0.5;86;0;0;0;61155;7.96
19/01/2023;3;1;Thursday;winter;9.0;0;0;0;0;339;130;26;14;1211;392;77.8;50;356;45;2.3;0.05;0.485;81;0;0;0;62798;7.65
20/01/2023;4;1;Friday;winter;-0.0;0;0;0;0;369;136;35;13;1217;352;78.9;65;352;43;2.3;0.08;0.484;103;0;1;0;59596;7.49
