date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;3.8;0;0;0;0;296;127;24;11;1452;426;79.6;33;296;23;2.3;0.08;0.401;94;0;0;0;57594;7.99
02/01/2023;0;1;Monday;winter;-1.6;0;0;0;0;440;182;30;18;1326;437;61.9;53;296;41;2.3;0.08;0.539;96;0;0;0;60443;7.43
03/01/2023;1;1;Tuesday;winter;4.3;0;1;0;0;485;206;39;23;1309;406;78.8;63;368;44;2.3;0.09;0.71;100;0;1;0;65217;7.69
04/01/2023;2;1;Wednesday;winter;2.3;0;0;0;0;403;159;29;19;1281;421;72.8;50;407;48;2.3;0.09;0.516;91;0;0;0;68042;7.93
05/01/2023;3;1;Thursday;winter;4.5;0;0;0;0;411;155;29;17;1334;381;65.0;45;406;40;2.3;0.09;0.478;105;0;0;0;65315;7.55
06/01/2023;4;1;Friday;winter;-0.4;0;0;0;0;448;157;39;16;1536;414;75.3;53;407;40;2.3;0.07;0.485;75;0;1;0;63284;7.28
07/01/2023;5;1;Saturday;winter;4.6;0;0;0;0;291;109;24;13;1342;412;69.4;57;414;19;2.3;0.08;0.407;106;0;0;0;60195;7.7
08/01/2023;6;1;Sunday;winter;6.5;0;0;0;0;337;127;30;14;1321;408;69.5;35;396;24;2.3;0.08;0.444;94;0;0;0;57057;7.94
09/01/2023;0;1;Monday;winter;4.1;0;1;0;0;467;212;35;27;1338;411;76.5;76;402;44;2.3;0.09;0.632;94;0;0;0;67485;7.34
10/01/2023;1;1;Tuesday;winter;11.1;0;0;0;0;428;150;28;14;1411;396;69.4;53;406;42;2.3;0.08;0.475;88;0;0;0;67088;7.64
11/01/2023;2;1;Wednesday;winter;3.3;0;0;0;0;374;147;26;14;1419;404;70.5;52;398;44;2.3;0.1;0.426;90;0;0;0;56292;7.75
