date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;5.4;0;0;0;0;348;131;31;13;1383;353;67.8;37;348;27;2.3;0.1;0.405;87;0;0;0;61134;7.92
02/01/2023;0;1;Monday;winter;8.6;0;0;0;0;416;182;34;15;1233;371;68.8;55;348;43;2.3;0.09;0.587;77;0;0;0;60642;7.57
03/01/2023;1;1;Tuesday;winter;-1.0;0;0;0;0;435;165;29;15;1301;369;75.2;46;382;45;2.3;0.08;0.571;105;0;1;0;62949;7.77
04/01/2023;2;1;Wednesday;winter;3.3;0;0;0;0;352;139;33;16;1322;372;75.9;48;400;48;2.3;0.09;0.485;104;0;0;0;60458;7.57
05/01/2023;3;1;Thursday;winter;3.7;0;0;0;0;412;148;38;16;1335;363;63.4;56;388;41;2.3;0.1;0.457;102;0;0;0;62003;7.3
06/01/2023;4;1;Friday;winter;0.5;0;0;0;0;394;166;28;15;1307;376;75.9;60;393;44;2.3;0.07;0.453;87;0;1;0;54701;7.64
07/01/2023;5;1;Saturday;winter;8.8;0;0;0;0;356;122;24;12;1273;402;73.1;37;393;24;2.3;0.06;0.488;91;0;0;0;61932;7.82
08/01/2023;6;1;Sunday;winter;4.7;0;0;0;0;324;119;22;12;1405;357;73.7;43;388;27;2.3;0.1;0.379;73;0;0;1;58051;7.77
09/01/2023;0;1;Monday;winter;-4.4;0;0;0;0;395;149;42;16;1346;377;70.5;55;384;42;2.3;0.07;0.468;81;0;0;0;62925;7.49
10/01/2023;1;1;Tuesday;winter;-0.2;0;0;0;0;383;129;46;10;1268;389;67.5;34;381;45;2.3;0.07;0.496;80;0;0;0;63658;7.79
11/01/2023;2;1;Wednesday;winter;1.9;0;0;0;0;425;187;19;19;1314;382;71.1;48;374;44;2.3;0.1;0.532;84;0;0;0;64237;7.64
12/01/2023;3;1;Thursday;winter;4.2;0;0;1;0;387;143;31;15;1248;367;71.7;72;384;34;2.3;0.1;0.538;89;0;0;0;60569;6.95
13/01/2023;4;1;Friday;winter;2.0;0;0;0;0;398;147;25;16;1271;361;61.3;50;381;45;2.3;0.07;0.592;103;0;0;0;60687;7.91
14/01/2023;5;1;Saturday;winter;2.3;0;1;0;0;365;162;22;18;1284;375;74.4;54;381;25;2.3;0.09;0.522;77;0;0;0;55031;7.75
