date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;5.3;0;0;0;0;403;172;29;15;1460;459;71.8;61;403;26;2.3;0.08;0.443;89;0;0;0;60937;7.41
02/01/2023;0;1;Monday;winter;6.7;0;0;0;0;455;178;26;20;1427;460;68.0;67;403;45;2.3;0.09;0.53;93;0;0;0;63798;7.38
03/01/2023;1;1;Tuesday;winter;3.8;0;0;0;0;490;200;51;22;1417;460;76.1;67;429;43;2.3;0.09;0.62;105;0;1;0;67840;7.38
04/01/2023;2;1;Wednesday;winter;3.0;0;0;0;0;412;155;38;18;1502;460;74.0;43;449;45;2.3;0.07;0.445;94;0;0;0;61028;7.94
05/01/2023;3;1;Thursday;winter;8.7;0;0;0;0;445;150;28;20;1344;460;68.3;53;440;50;2.3;0.08;0.57;78;0;0;0;61227;7.62
06/01/2023;4;1;Friday;winter;4.6;0;0;0;0;419;154;42;15;1404;460;77.0;67;441;42;2.3;0.09;0.52;87;0;1;0;57450;7.45
07/01/2023;5;1;Saturday;winter;2.4;0;0;0;0;358;129;25;14;1421;445;74.1;34;437;24;2.3;0.11;0.355;89;0;0;0;53831;8.01
08/01/2023;6;1;Sunday;winter;3.8;0;0;0;0;335;146;22;16;1423;460;65.7;44;426;23;2.3;0.05;0.407;90;0;0;0;53532;7.8
09/01/2023;0;1;Monday;winter;3.3;0;0;0;0;456;156;36;20;1388;460;66.3;58;416;49;2.3;0.08;0.533;81;0;0;0;59966;7.71
10/01/2023;1;1;Tuesday;winter;-5.1;0;0;0;0;409;134;34;18;1425;455;81.2;36;416;46;2.3;0.09;0.4;76;0;1;0;64013;7.87
11/01/2023;2;1;Wednesday;winter;1.1;0;0;0;0;462;162;29;21;1425;449;71.4;55;405;48;2.3;0.09;0.555;91;0;0;0;61202;7.74
12/01/2023;3;1;Thursday;winter;3.9;0;0;0;0;444;172;22;13;1406;460;72.8;43;412;47;2.3;0.08;0.51;110;0;0;0;61671;7.82
13/01/2023;4;1;Friday;winter;7.3;0;0;0;0;433;166;39;19;1398;460;82.5;51;412;44;2.3;0.07;0.484;89;0;1;0;64362;7.82
14/01/2023;5;1;Saturday;winter;2.2;0;0;0;0;316;119;22;14;1426;455;77.8;37;414;27;2.3;0.1;0.329;90;0;0;0;54319;7.65
15/01/2023;6;1;Sunday;winter;7.2;0;0;0;0;376;135;42;18;1448;460;75.2;50;408;33;2.3;0.09;0.448;69;0;0;0;54153;7.7
16/01/2023;0;1;Monday;winter;7.3;0;0;0;0;524;185;40;19;1393;459;72.8;56;414;40;2.3;0.08;0.594;84;0;0;0;68317;7.37
17/01/2023;1;1;Tuesday;winter;3.4;0;0;0;0;440;176;35;17;1374;460;78.3;38;423;39;2.3;0.07;0.551;91;0;1;0;59840;7.72
18/01/2023;2;1;Wednesday;winter;6.4;0;0;0;0;450;179;39;18;1451;460;72.9;49;428;44;2.3;0.08;0.49;105;0;0;0;65816;7.89
19/01/2023;3;1;Thursday;winter;5.1;0;0;0;0;453;170;49;16;1401;460;62.2;46;426;42;2.3;0.08;0.507;82;0;0;0;67081;7.51
20/01/2023;4;1;Friday;winter;9.9;0;0;0;0;408;140;25;17;1349;443;77.2;41;427;44;2.3;0.09;0.504;73;0;1;0;59075;7.96
21/01/2023;5;1;Saturday;winter;6.4;0;0;0;0;345;145;34;15;1409;437;74.2;43;424;24;2.3;0.09;0.375;76;0;0;0;57555;7.76
22/01/2023;6;1;Sunday;winter;1.7;0;0;0;0;378;140;26;14;1371;459;71.0;29;428;22;2.3;0.07;0.458;107;0;0;0;62724;7.75
23/01/2023;0;1;Monday;winter;7.4;0;0;0;0;460;192;48;17;1473;460;66.7;61;428;39;2.3;0.07;0.554;99;0;0;0;58566;7.47
24/01/2023;1;1;Tuesday;winter;3.5;0;0;0;0;457;193;43;21;1339;460;64.1;54;419;39;2.3;0.09;0.589;100;0;0;0;61878;7.3
25/01/2023;2;1;Wednesday;winter;4.6;0;0;0;0;437;164;38;16;1528;460;73.9;49;422;45;2.3;0.07;0.512;70;0;0;0;59591;7.94
26/01/2023;3;1;Thursday;winter;0.7;0;0;0;0;461;167;41;20;1403;460;74.9;63;420;47;2.3;0.09;0.536;76;0;0;0;63116;7.55
27/01/2023;4;1;Friday;winter;3.1;0;0;0;0;460;182;44;19;1347;460;74.1;53;421;43;2.3;0.07;0.583;98;0;1;0;56990;7.62
28/01/2023;5;1;Saturday;winter;8.3;0;0;0;0;404;168;27;19;1391;460;69.3;48;428;24;2.3;0.08;0.411;88;0;0;0;58870;7.81
29/01/2023;6;1;Sunday;winter;7.1;0;0;0;0;367;133;28;16;1388;460;69.4;43;437;29;2.3;0.08;0.47;101;0;0;0;64392;7.78
30/01/2023;0;1;Monday;winter;4.1;0;0;0;0;471;188;39;17;1265;452;69.1;36;435;41;2.3;0.09;0.6;82;0;0;0;65098;7.75
31/01/2023;1;1;Tuesday;winter;9.0;0;0;0;0;430;162;45;19;1445;460;78.2;37;437;45;2.3;0.09;0.463;89;0;1;0;64797;7.89
01/02/2023;2;2;Wednesday;winter;6.7;0;0;0;0;461;179;44;20;1310;460;67.9;49;433;46;2.3;0.07;0.599;91;0;0;0;64971;7.1
02/02/2023;3;2;Thursday;winter;5.5;0;0;0;0;495;204;41;22;1417;460;67.7;55;436;46;2.3;0.07;0.58;86;0;0;0;64568;7.7
03/02/2023;4;2;Friday;winter;8.3;0;0;0;0;436;157;29;17;1406;460;79.4;47;441;42;2.3;0.07;0.525;77;0;1;0;63916;7.7
04/02/2023;5;2;Saturday;winter;5.9;0;0;0;0;362;131;29;13;1373;459;70.1;38;438;26;2.3;0.07;0.379;68;0;0;0;61286;7.71
05/02/2023;6;2;Sunday;winter;6.5;0;0;0;0;363;130;21;18;1320;460;73.2;59;432;29;2.3;0.06;0.495;86;0;0;0;61014;7.77
06/02/2023;0;2;Monday;winter;7.0;0;0;0;0;461;179;28;16;1393;448;67.9;52;431;39;2.3;0.08;0.539;92;0;0;0;67149;7.63
07/02/2023;1;2;Tuesday;winter;7.2;0;0;0;0;430;156;44;13;1392;459;72.6;51;430;42;2.3;0.06;0.491;107;0;1;0;63700;7.29
08/02/2023;2;2;Wednesday;winter;4.3;0;0;0;0;451;174;40;16;1337;460;71.2;54;430;39;2.3;0.08;0.548;95;0;0;0;59024;7.32
09/02/2023;3;2;Thursday;winter;5.0;0;0;0;0;427;162;38;14;1286;460;73.5;64;428;42;2.3;0.07;0.525;91;0;0;0;64372;7.55
10/02/2023;4;2;Friday;winter;4.3;0;0;0;0;413;144;41;18;1339;460;74.3;58;419;41;2.3;0.07;0.547;82;0;1;0;58206;7.58
11/02/2023;5;2;Saturday;winter;10.7;0;0;0;0;369;124;24;15;1322;458;69.0;54;415;26;2.3;0.1;0.442;81;0;0;0;61841;7.59
12/02/2023;6;2;Sunday;winter;9.3;0;0;0;0;359;145;38;11;1399;454;68.0;40;416;23;2.3;0.07;0.369;100;0;0;1;63582;7.73
13/02/2023;0;2;Monday;winter;7.4;0;0;0;0;465;188;34;19;1444;460;71.2;49;416;40;2.3;0.1;0.556;84;0;0;0;65620;7.56
14/02/2023;1;2;Tuesday;winter;8.6;0;0;0;0;471;215;39;17;1377;460;68.3;56;416;43;2.3;0.07;0.561;93;0;1;0;65518;7.91
15/02/2023;2;2;Wednesday;winter;9.6;0;0;0;0;450;177;29;14;1310;460;71.4;36;422;44;2.3;0.09;0.548;77;0;0;0;62066;8.03
16/02/2023;3;2;Thursday;winter;6.1;0;0;0;0;391;154;40;17;1502;460;76.9;47;422;46;2.3;0.07;0.386;76;0;0;0;57834;7.57
17/02/2023;4;2;Friday;winter;2.9;0;1;0;0;462;203;28;25;1448;460;70.5;60;417;40;2.3;0.09;0.62;95;0;1;0;61839;7.48
18/02/2023;5;2;Saturday;winter;2.1;0;0;0;0;352;149;31;14;1372;460;72.9;43;424;21;2.3;0.1;0.453;78;0;0;0;56971;7.9
19/02/2023;6;2;Sunday;winter;13.4;0;0;0;0;362;133;24;14;1407;460;70.4;48;421;30;2.3;0.07;0.442;93;0;0;0;53096;7.89
20/02/2023;0;2;Monday;winter;6.3;0;0;0;0;488;191;43;18;1448;447;71.5;42;422;41;2.3;0.11;0.507;113;0;0;0;66767;7.67
21/02/2023;1;2;Tuesday;winter;11.4;0;0;0;0;455;162;42;16;1429;460;64.5;42;425;46;2.3;0.08;0.56;77;0;0;0;59516;8.0
22/02/2023;2;2;Wednesday;winter;6.7;0;2;0;0;535;260;44;33;1397;459;66.1;79;423;39;2.3;0.11;0.805;117;1;0;0;70911;7.32
23/02/2023;3;2;Thursday;winter;6.4;0;0;0;0;444;176;47;18;1417;460;69.0;60;435;43;2.3;0.08;0.489;90;0;0;0;63703;7.41
24/02/2023;4;2;Friday;winter;7.3;0;0;0;0;429;158;34;13;1408;439;68.7;43;443;48;2.3;0.08;0.471;101;0;0;0;60487;7.94
25/02/2023;5;2;Saturday;winter;5.6;0;0;0;0;326;121;30;15;1384;430;76.6;43;438;22;2.3;0.11;0.405;77;0;0;0;62558;7.71
26/02/2023;6;2;Sunday;winter;9.9;0;3;0;0;455;246;44;34;1423;434;72.4;78;434;25;2.3;0.12;0.703;119;2;0;0;62625;7.04
27/02/2023;0;2;Monday;winter;8.1;0;0;0;0;470;187;31;19;1431;460;71.1;44;447;44;2.3;0.07;0.523;96;0;0;0;64997;7.85
