date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;2.9;0;0;0;0;271;112;24;9;1227;374;73.8;44;271;24;2.3;0.07;0.401;107;0;0;0;56139;7.78
02/01/2023;0;1;Monday;winter;3.9;0;0;0;0;378;129;36;12;1219;389;68.9;50;271;43;2.3;0.08;0.496;89;0;0;0;58208;7.62
03/01/2023;1;1;Tuesday;winter;3.0;0;0;0;0;414;151;26;14;1228;371;78.3;47;324;47;2.3;0.07;0.521;98;0;1;0;63163;7.81
04/01/2023;2;1;Wednesday;winter;-1.2;0;0;2;0;356;133;29;11;1102;371;71.4;45;354;31;2.3;0.11;0.52;87;1;0;0;60437;7.68
05/01/2023;3;1;Thursday;winter;6.2;0;0;0;0;417;165;33;12;1120;369;66.2;63;355;47;2.3;0.08;0.608;84;0;0;0;59533;7.39
06/01/2023;4;1;Friday;winter;-3.1;0;0;0;0;369;147;30;16;1272;374;72.5;51;367;46;2.3;0.08;0.488;102;0;1;0;60321;7.54
07/01/2023;5;1;Saturday;winter;2.6;0;0;0;0;281;103;18;10;1223;395;67.9;47;368;25;2.3;0.08;0.419;67;0;0;0;56767;7.43
08/01/2023;6;1;Sunday;winter;1.5;0;0;0;0;302;136;29;12;1259;394;70.3;42;355;27;2.3;0.07;0.415;84;0;0;0;57422;8.0
09/01/2023;0;1;Monday;winter;4.8;0;0;0;0;382;136;37;15;1284;382;71.2;41;360;44;2.3;0.07;0.457;81;0;0;0;55459;7.77
10/01/2023;1;1;Tuesday;winter;0.5;0;0;0;0;387;160;24;16;1177;387;79.9;64;360;47;2.3;0.1;0.554;82;0;1;0;60401;7.47
11/01/2023;2;1;Wednesday;winter;2.0;0;0;0;0;368;145;26;16;1125;376;76.8;41;356;43;2.3;0.08;0.533;85;0;0;0;54448;7.46
12/01/2023;3;1;Thursday;winter;6.0;0;2;0;0;388;195;38;21;1201;375;69.3;73;358;43;2.7;0.1;0.689;102;1;0;0;63326;7.08
13/01/2023;4;1;Friday;winter;2.7;0;0;0;0;337;147;27;12;1181;371;80.5;61;354;44;2.3;0.08;0.494;96;0;1;0;57251;7.46
14/01/2023;5;1;Saturday;winter;4.9;0;1;0;0;319;135;15;17;1249;399;72.6;51;349;20;2.3;0.06;0.519;75;0;0;0;58494;7.39
15/01/2023;6;1;Sunday;winter;3.4;0;0;0;0;362;139;40;14;1169;394;72.7;59;355;19;2.3;0.07;0.537;90;0;0;0;61224;7.87
16/01/2023;0;1;Monday;winter;6.0;0;0;0;0;344;129;34;13;1230;363;73.5;42;363;47;2.3;0.08;0.452;89;0;0;0;55512;7.72
17/01/2023;1;1;Tuesday;winter;1.7;0;0;0;0;371;135;29;17;1192;376;77.0;38;358;45;2.3;0.1;0.562;81;0;1;0;54617;7.93
18/01/2023;2;1;Wednesday;winter;3.4;0;0;0;0;368;148;23;14;1178;380;68.0;51;356;40;2.3;0.07;0.532;96;0;0;0;55657;7.88
19/01/2023;3;1;Thursday;winter;4.7;0;0;0;0;395;136;32;15;1203;377;66.9;44;356;46;2.3;0.08;0.627;96;0;0;0;63189;7.8
20/01/2023;4;1;Friday;winter;3.7;0;0;0;0;393;139;38;20;1289;376;76.4;45;357;49;2.3;0.08;0.515;76;0;1;0;61105;7.74
21/01/2023;5;1;Saturday;winter;-1.4;0;0;0;0;290;107;23;12;1182;380;72.5;37;365;28;2.3;0.07;0.351;86;0;0;0;56248;8.18
