date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;1.9;0;0;0;0;313;130;23;10;1225;430;70.7;51;313;27;2.3;0.09;0.42;77;0;0;0;58351;7.49
02/01/2023;0;1;Monday;winter;5.0;0;2;0;0;483;226;39;29;1306;408;68.5;95;313;46;2.3;0.1;0.763;104;1;0;0;67371;7.08
03/01/2023;1;1;Tuesday;winter;3.6;0;0;0;0;416;156;31;17;1328;403;73.2;51;398;46;2.3;0.08;0.511;71;0;0;0;59561;7.84
04/01/2023;2;1;Wednesday;winter;4.6;0;0;0;0;392;148;22;16;1230;421;73.4;52;404;40;2.3;0.07;0.577;99;0;0;0;60414;7.63
05/01/2023;3;1;Thursday;winter;-1.0;0;0;0;0;428;149;40;20;1318;415;66.3;61;401;42;2.3;0.07;0.517;88;0;0;0;55902;7.39
06/01/2023;4;1;Friday;winter;1.1;0;0;0;0;359;146;32;14;1310;429;77.6;44;406;47;2.3;0.08;0.442;82;0;1;0;54533;8.17
07/01/2023;5;1;Saturday;winter;3.5;0;0;0;0;286;113;29;10;1310;420;81.4;31;398;23;2.3;0.09;0.409;89;0;0;0;57167;8.19
08/01/2023;6;1;Sunday;winter;1.3;0;0;0;0;324;118;28;19;1356;412;73.6;33;382;27;2.3;0.09;0.4;91;0;0;0;61245;7.96
09/01/2023;0;1;Monday;winter;-1.8;0;0;0;0;445;144;39;18;1337;435;71.3;47;384;44;2.3;0.06;0.597;101;0;0;0;62210;7.96
10/01/2023;1;1;Tuesday;winter;-2.3;0;3;0;0;496;270;38;29;1269;403;72.4;98;379;42;2.7;0.14;0.82;118;2;0;0;69467;6.55
