date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;6.3;0;0;0;0;360;133;31;13;1559;453;74.3;51;360;25;2.3;0.07;0.371;85;0;0;0;60956;7.34
02/01/2023;0;1;Monday;winter;3.0;0;1;0;0;471;187;27;23;1583;441;64.7;57;360;41;2.3;0.09;0.544;67;0;0;0;63205;7.24
03/01/2023;1;1;Tuesday;winter;0.6;0;0;0;0;402;154;30;18;1476;429;84.5;38;416;45;2.3;0.08;0.41;119;0;1;0;67757;7.66
04/01/2023;2;1;Wednesday;winter;1.8;0;0;0;0;409;184;34;18;1507;449;69.3;45;411;45;2.3;0.09;0.5;104;0;0;0;63326;7.86
05/01/2023;3;1;Thursday;winter;9.0;0;0;0;0;490;194;55;19;1480;430;67.4;51;410;45;2.3;0.08;0.593;84;0;0;0;62656;7.73
06/01/2023;4;1;Friday;winter;2.3;0;0;0;0;434;152;42;17;1375;449;73.2;56;426;44;2.3;0.09;0.524;90;0;1;0;61291;7.4
07/01/2023;5;1;Saturday;winter;1.3;0;0;0;0;360;143;21;18;1583;436;71.3;44;428;25;2.3;0.1;0.328;72;0;0;0;58016;8.25
08/01/2023;6;1;Sunday;winter;7.9;0;0;0;0;331;119;28;15;1504;460;73.6;53;418;22;2.3;0.06;0.396;92;0;0;0;57848;7.39
09/01/2023;0;1;Monday;winter;-1.2;0;0;0;0;460;159;42;21;1538;420;72.1;50;414;38;2.3;0.11;0.512;93;0;0;0;63854;7.58
10/01/2023;1;1;Tuesday;winter;5.9;0;0;0;0;474;174;35;18;1531;455;74.1;46;412;39;2.3;0.08;0.547;71;0;1;0;65764;7.59
11/01/2023;2;1;Wednesday;winter;1.9;0;0;0;0;418;178;30;22;1452;413;70.6;48;423;46;2.3;0.11;0.464;104;0;0;0;61623;7.83
