date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;-1.0;0;0;0;0;355;135;40;14;1230;356;72.2;40;355;25;2.3;0.09;0.496;96;0;0;0;57657;8.15
02/01/2023;0;1;Monday;winter;0.1;0;0;0;0;372;135;30;19;1183;360;76.8;45;355;41;2.3;0.07;0.555;87;0;0;0;58384;7.85
03/01/2023;1;1;Tuesday;winter;-0.1;0;0;0;0;379;142;26;17;1231;362;73.3;53;364;47;2.3;0.07;0.538;81;0;1;0;60524;7.59
04/01/2023;2;1;Wednesday;winter;1.6;0;0;0;0;363;153;23;16;1196;350;75.2;38;369;45;2.3;0.11;0.524;77;0;0;0;58696;7.59
05/01/2023;3;1;Thursday;winter;-1.0;0;0;0;0;357;136;25;13;1169;350;72.4;61;367;44;2.3;0.06;0.471;77;0;0;0;59999;7.55
06/01/2023;4;1;Friday;winter;0.0;0;0;0;0;321;123;26;14;1232;350;82.0;46;365;43;2.3;0.09;0.46;92;0;1;0;61588;7.58
07/01/2023;5;1;Saturday;winter;-0.7;0;0;0;0;299;117;21;8;1152;350;73.6;39;358;23;2.3;0.06;0.406;70;0;0;0;58337;7.97
08/01/2023;6;1;Sunday;winter;3.5;0;0;0;0;323;111;26;12;1217;374;68.3;38;349;23;2.3;0.09;0.392;84;0;0;0;58094;7.91
09/01/2023;0;1;Monday;winter;-1.1;0;0;0;0;406;153;21;14;1204;361;71.1;64;345;49;2.3;0.08;0.608;99;0;0;1;66299;7.5
10/01/2023;1;1;Tuesday;winter;4.5;0;0;0;0;346;108;31;13;1178;350;75.7;46;350;42;2.3;0.08;0.468;66;0;1;0;57849;8.04
11/01/2023;2;1;Wednesday;winter;1.8;0;0;0;0;396;137;29;16;1189;368;62.7;48;345;46;2.3;0.07;0.546;77;0;0;0;66175;7.63
12/01/2023;3;1;Thursday;winter;0.2;0;0;0;0;401;137;30;13;1236;372;70.1;45;350;46;2.3;0.07;0.515;70;0;0;0;62335;7.55
13/01/2023;4;1;Friday;winter;1.2;0;0;0;0;351;136;29;14;1251;362;79.8;43;356;42;2.3;0.09;0.451;80;0;1;0;54236;8.05
14/01/2023;5;1;Saturday;winter;0.2;0;0;0;0;302;123;20;13;1254;350;69.0;25;360;25;2.3;0.07;0.431;69;0;0;0;57581;8.45
15/01/2023;6;1;Sunday;winter;5.5;0;0;0;0;330;113;25;15;1212;357;73.4;44;361;26;2.3;0.06;0.465;63;0;0;0;57352;7.48
16/01/2023;0;1;Monday;winter;1.2;0;0;0;0;353;141;40;15;1190;350;67.7;38;362;46;2.3;0.09;0.501;102;0;0;0;60569;7.65
17/01/2023;1;1;Tuesday;winter;-2.1;0;0;0;0;374;150;31;12;1124;350;75.1;61;354;48;2.3;0.09;0.525;116;0;1;0;60504;7.6
18/01/2023;2;1;Wednesday;winter;4.3;0;0;0;0;337;128;29;9;1226;350;67.3;51;358;43;2.3;0.07;0.446;87;0;0;0;53936;7.78
19/01/2023;3;1;Thursday;winter;2.1;0;0;0;0;341;126;26;16;1111;373;65.5;44;350;45;2.3;0.07;0.535;87;0;0;0;59803;7.96
20/01/2023;4;1;Friday;winter;-3.0;0;0;0;0;366;132;24;14;1197;359;79.5;45;341;47;2.3;0.08;0.535;84;0;1;0;59819;8.07
21/01/2023;5;1;Saturday;winter;3.0;0;1;0;0;360;156;26;20;1155;350;78.9;65;343;25;2.3;0.08;0.574;58;0;0;0;60828;7.44
22/01/2023;6;1;Sunday;winter;3.8;0;1;0;0;356;154;13;17;1188;350;71.5;53;352;20;2.3;0.11;0.552;105;0;0;0;58906;7.59
23/01/2023;0;1;Monday;winter;0.3;0;0;0;0;360;125;33;16;1237;350;74.2;36;355;47;2.3;0.08;0.422;107;0;0;0;58296;7.8
24/01/2023;1;1;Tuesday;winter;1.3;0;0;0;0;359;146;23;13;1194;356;75.6;35;356;43;2.3;0.07;0.473;81;0;1;0;61167;7.52
25/01/2023;2;1;Wednesday;winter;4.6;0;0;0;0;359;143;28;15;1107;352;68.0;53;354;46;2.3;0.08;0.533;76;0;0;0;56677;7.86
26/01/2023;3;1;Thursday;winter;4.5;0;0;0;0;324;146;16;12;1215;356;82.3;33;357;45;2.3;0.08;0.463;64;0;0;0;53615;8.04
27/01/2023;4;1;Friday;winter;5.8;0;0;0;0;321;111;28;13;1304;365;82.0;23;355;43;2.3;0.09;0.433;71;0;1;0;57365;8.03
28/01/2023;5;1;Saturday;winter;3.7;0;0;0;0;260;108;24;10;1186;352;67.4;26;348;29;2.3;0.06;0.414;74;0;0;0;53535;7.91
29/01/2023;6;1;Sunday;winter;-3.2;0;0;0;0;269;94;19;10;1185;361;81.2;29;334;20;2.3;0.09;0.396;71;0;0;0;56402;7.87
30/01/2023;0;1;Monday;winter;4.6;0;0;0;0;355;125;38;14;1212;350;74.9;40;322;48;2.3;0.08;0.467;81;0;0;0;62897;7.65
31/01/2023;1;1;Tuesday;winter;4.5;0;0;0;0;334;127;26;11;1174;350;76.2;41;321;40;2.3;0.08;0.52;66;0;1;0;54739;7.65
01/02/2023;2;2;Wednesday;winter;5.2;0;0;0;0;347;124;29;11;1161;350;68.5;43;317;48;2.3;0.09;0.483;97;0;0;0;62873;7.77
02/02/2023;3;2;Thursday;winter;9.1;0;0;0;0;417;141;34;25;1182;350;70.2;51;316;46;2.3;0.1;0.592;84;0;0;0;60580;7.72
03/02/2023;4;2;Friday;winter;7.8;0;0;0;0;323;109;19;11;1233;350;76.2;33;329;49;2.3;0.1;0.395;80;0;1;0;57628;8.05
04/02/2023;5;2;Saturday;winter;8.6;0;0;0;0;285;112;28;15;1170;366;73.5;53;329;25;2.3;0.08;0.418;67;0;0;0;57197;7.77
05/02/2023;6;2;Sunday;winter;8.9;0;0;0;0;261;95;17;12;1234;350;65.5;41;333;21;2.3;0.09;0.353;78;0;0;0;55205;7.79
06/02/2023;0;2;Monday;winter;6.8;0;0;0;0;346;138;23;15;1143;350;75.7;62;332;42;2.3;0.11;0.521;94;0;0;0;57929;7.42
07/02/2023;1;2;Tuesday;winter;7.4;0;0;1;0;274;100;16;10;1163;361;78.6;44;330;36;2.3;0.11;0.356;69;0;1;0;57750;7.49
08/02/2023;2;2;Wednesday;winter;6.8;0;0;0;0;344;122;24;13;1273;350;79.0;43;322;41;2.3;0.08;0.462;84;0;0;0;63996;7.9
09/02/2023;3;2;Thursday;winter;4.6;0;0;0;0;353;121;25;16;1228;363;72.1;43;321;43;2.3;0.09;0.487;85;0;0;0;58927;7.8
10/02/2023;4;2;Friday;winter;10.4;0;0;0;0;304;129;23;15;1288;350;83.3;39;312;41;2.3;0.1;0.405;95;0;1;0;58551;7.96
11/02/2023;5;2;Saturday;winter;5.5;0;0;0;0;301;124;20;14;1169;350;71.0;43;310;25;2.3;0.08;0.473;95;0;0;0;55260;7.71
12/02/2023;6;2;Sunday;winter;3.6;0;0;0;0;271;106;18;12;1190;381;82.2;25;312;28;2.3;0.05;0.365;82;0;0;0;55433;7.95
13/02/2023;0;2;Monday;winter;10.3;0;0;0;0;405;148;27;15;1136;355;66.9;59;313;38;2.3;0.09;0.546;69;0;0;0;65101;7.59
14/02/2023;1;2;Tuesday;winter;6.4;0;0;0;0;360;175;31;11;1217;358;82.9;47;322;52;2.3;0.08;0.533;74;0;1;0;57643;7.64
15/02/2023;2;2;Wednesday;winter;5.4;0;0;0;0;350;128;30;13;1221;370;80.9;35;334;50;2.3;0.06;0.471;98;0;0;0;61817;7.63
16/02/2023;3;2;Thursday;winter;4.7;0;0;0;0;365;148;25;15;1213;361;71.2;39;335;49;2.3;0.08;0.485;98;0;0;0;59195;7.79
17/02/2023;4;2;Friday;winter;4.7;0;2;0;0;452;236;23;22;1100;350;79.6;97;337;45;2.7;0.1;0.82;103;1;1;0;70439;6.89
18/02/2023;5;2;Saturday;winter;3.6;0;0;0;0;293;99;23;12;1138;358;66.2;43;358;23;2.3;0.09;0.435;95;0;0;0;54767;7.8
