date;dow;month;day_of_week;season;temperature_c;heatwave_event;epidemic_level;strike_level;accident_event;total_admissions;emergency_admissions;pediatric_admissions;icu_admissions;available_beds;available_staff;medical_stock_level_pct;waiting_time_avg_min;naive_pred_total_admissions;scheduled_surgeries;avg_patient_severity;staff_absence_rate;bed_occupancy_rate;ambulance_arrivals;external_alert_level;supply_delivery_day;it_system_outage;estimated_cost_per_day;patient_satisfaction_score
01/01/2023;6;1;Sunday;winter;12.0;0;0;0;0;394;177;59;19;1404;434;81.1;40;394;46;2.3;0.07;0.438;100;0;0;0;61080;7.63
02/01/2023;0;1;Monday;winter;8.0;0;2;0;0;533;293;79;47;1264;403;55.1;79;463;30;3.1;0.11;0.592;174;1;0;0;72960;6.58
03/01/2023;1;1;Tuesday;winter;3.2;0;0;0;0;448;201;67;22;1316;414;89.7;45;458;47;2.3;0.07;0.498;110;0;1;0;67860;7.55
04/01/2023;2;1;Wednesday;winter;9.2;0;3;0;0;567;340;85;62;1212;396;52.8;103;485;17;3.5;0.13;0.63;143;2;0;0;73140;5.98
05/01/2023;3;1;Thursday;winter;10.6;0;3;0;0;490;294;73;53;1302;408;53.6;102;486;17;3.5;0.13;0.544;149;2;1;0;63900;6.0
06/01/2023;4;1;Friday;winter;7.3;0;1;0;0;404;202;60;28;1362;413;72.6;70;472;34;2.7;0.09;0.449;96;0;0;0;58680;6.93
07/01/2023;5;1;Saturday;winter;7.8;0;2;0;0;533;293;79;47;1285;391;58.7;78;481;27;3.1;0.11;0.592;161;1;0;0;72060;6.6
08/01/2023;6;1;Sunday;winter;6.4;0;1;0;0;473;236;70;33;1296;395;70.5;58;492;37;2.7;0.09;0.526;95;0;0;0;67860;7.13
09/01/2023;0;1;Monday;winter;9.8;0;2;0;0;554;304;83;49;1252;382;57.2;96;495;30;3.1;0.11;0.616;165;1;0;0;75480;6.3
10/01/2023;1;1;Tuesday;winter;4.8;0;1;0;0;501;250;75;35;1259;399;75.2;62;503;37;2.7;0.09;0.557;144;0;1;0;71220;7.07
11/01/2023;2;1;Wednesday;winter;12.4;0;1;0;0;494;247;74;34;1281;415;66.1;74;492;36;2.7;0.09;0.549;143;0;0;0;70080;6.87
12/01/2023;3;1;Thursday;winter;9.6;0;0;0;0;406;182;60;20;1402;418;69.4;44;480;44;2.3;0.07;0.451;85;0;1;0;61920;7.57
13/01/2023;4;1;Friday;winter;8.1;0;0;0;0;412;185;61;20;1363;413;82.2;50;481;43;2.3;0.07;0.458;82;0;0;0;62340;7.47
14/01/2023;5;1;Saturday;winter;7.2;0;1;0;0;477;238;71;33;1321;400;73.1;62;473;36;2.7;0.09;0.53;133;0;0;0;68040;7.07
15/01/2023;6;1;Sunday;winter;12.5;0;1;0;0;468;234;70;32;1341;421;57.0;46;473;37;2.7;0.09;0.52;130;0;0;0;67260;7.33
16/01/2023;0;1;Monday;winter;8.7;0;2;0;0;547;300;82;49;1203;412;58.9;88;472;30;3.1;0.11;0.608;148;1;0;0;74640;6.43
17/01/2023;1;1;Tuesday;winter;5.3;0;0;0;0;425;191;63;21;1372;428;70.5;48;461;47;2.3;0.07;0.472;104;0;1;0;65100;7.5
18/01/2023;2;1;Wednesday;winter;7.4;0;1;0;0;461;230;69;32;1370;391;69.7;43;456;36;2.7;0.09;0.512;124;0;0;0;66120;7.38
19/01/2023;3;1;Thursday;winter;8.9;0;1;0;0;436;218;65;30;1382;428;66.4;54;460;35;2.7;0.09;0.484;89;0;1;0;62820;7.2
20/01/2023;4;1;Friday;winter;4.0;0;0;0;0;445;200;66;22;1397;437;82.5;51;465;43;2.3;0.07;0.494;115;0;0;0;66300;7.45
21/01/2023;5;1;Saturday;winter;9.1;0;1;0;0;483;241;72;33;1360;428;72.3;73;466;36;2.7;0.09;0.537;112;0;0;0;68760;6.88
22/01/2023;6;1;Sunday;winter;5.7;0;1;0;0;450;225;67;31;1344;428;75.3;63;463;37;2.7;0.09;0.5;91;0;0;0;65100;7.05
23/01/2023;0;1;Monday;winter;7.3;0;0;0;0;466;209;69;23;1341;401;78.7;35;452;50;2.3;0.07;0.518;113;0;0;0;70920;7.72
24/01/2023;1;1;Tuesday;winter;6.6;0;0;0;0;446;200;66;22;1399;428;80.7;33;455;47;2.3;0.07;0.496;114;0;1;0;67620;7.75
25/01/2023;2;1;Wednesday;winter;0.6;0;2;0;0;502;276;75;45;1299;405;56.0;69;461;27;3.1;0.11;0.558;151;1;0;0;68340;6.75
26/01/2023;3;1;Thursday;winter;4.3;0;2;0;0;444;244;66;39;1345;403;61.0;69;462;26;3.1;0.11;0.493;145;1;1;0;61080;6.75
